gene,spearman_rho,p_value,q_value,mean_CPM_across_clusters
Bfar,0.7104,0.00030795937349621525,0.0097,32.51
B9d1,0.7104,0.00030795937349621525,0.0097,11.0
Kansl1,0.7104,0.00030795937349621525,0.0097,57.31
Ppm1g,0.7091,0.0003195131305886621,0.0099,43.29
Dennd6b,0.7091,0.0003195131305886621,0.0099,20.58
Sema6b,0.7091,0.0003195131305886621,0.0099,1.37
Mphosph9,0.7091,0.0003195131305886621,0.0099,11.83
Chst1,0.7091,0.0003195131305886621,0.0099,9.87
Zfp746,0.7091,0.0003195131305886621,0.0099,11.72
Thap4,0.7078,0.00033143647034757746,0.0101,9.77
Oxr1,0.7078,0.00033143647034757746,0.0101,86.05
Ikzf4,0.7078,0.00033143647034757746,0.0101,8.47
Col11a2,0.7078,0.00033143647034757746,0.0101,4.46
Bsg,0.7078,0.00033143647034757746,0.0101,417.13
Hectd4,0.7078,0.00033143647034757746,0.0101,141.23
Atp1b2,0.7078,0.00033143647034757746,0.0101,28.3
Cdh11,0.7065,0.0003437390796187949,0.0102,35.41
Slc24a2,0.7065,0.0003437390796187949,0.0102,107.9
Zfp369,0.7065,0.0003437390796187949,0.0102,15.88
Gm38211,0.7065,0.0003437390796187949,0.0102,2.08
Lrpap1,0.7065,0.0003437390796187949,0.0102,110.57
Slain1,0.7065,0.0003437390796187949,0.0102,5.85
Xkr4,0.7065,0.0003437390796187949,0.0102,5.07
Acvr1b,0.7052,0.0003564308384906877,0.0105,39.85
Igfbp4,0.7052,0.0003564308384906877,0.0105,57.25
Fat3,0.7052,0.0003564308384906877,0.0105,10.89
Nudt21,0.7052,0.0003564308384906877,0.0105,86.04
B230362B09Rik,0.7052,0.0003564308384906877,0.0105,0.92
Smo,0.7039,0.0003695218227234079,0.0106,2.75
Tomm20,0.7039,0.0003695218227234079,0.0106,279.69
Chd6,0.7039,0.0003695218227234079,0.0106,61.38
Lrrc45,0.7039,0.0003695218227234079,0.0106,15.93
Vgll4,0.7039,0.0003695218227234079,0.0106,12.43
Fabp7,0.7039,0.0003695218227234079,0.0106,483.42
Ppp1r14c,0.7039,0.0003695218227234079,0.0106,28.91
Usp2,0.7039,0.0003695218227234079,0.0106,10.38
Cc2d2a,0.7039,0.0003695218227234079,0.0106,6.04
Stx17,0.7026,0.00038302230618131105,0.0108,13.7
R3hdm2,0.7026,0.00038302230618131105,0.0108,107.57
Pnma8c,0.7026,0.00038302230618131105,0.0108,32.25
Kcnk9,0.7026,0.00038302230618131105,0.0108,58.18
Gm10046,0.7026,0.00038302230618131105,0.0108,14.72
Akap8l,0.7026,0.00038302230618131105,0.0108,37.0
Gm1604a,0.702,0.00038963229116312106,0.011,0.69
Gm27032,0.7015,0.0003944701346091201,0.0111,2.31
Rrm1,0.7013,0.0003969427632680485,0.0111,7.59
Ranbp10,0.7013,0.0003969427632680485,0.0111,31.99
Zmat4,0.7013,0.0003969427632680485,0.0111,7.15
Thrap3,0.7013,0.0003969427632680485,0.0111,84.08
Glcci1,0.7,0.0004112938713638759,0.0114,7.53
Ulk1,0.7,0.0004112938713638759,0.0114,55.19
Zfp316,0.7,0.0004112938713638759,0.0114,12.4
Nexmif,0.7,0.0004112938713638759,0.0114,3.08
Jmjd8,0.6987,0.0004260865132646113,0.0115,12.59
Ldhb,0.6987,0.0004260865132646113,0.0115,114.58
Il11ra1,0.6987,0.0004260865132646113,0.0115,17.04
Rara,0.6987,0.0004260865132646113,0.0115,6.43
Axin2,0.6987,0.0004260865132646113,0.0115,2.53
Tuba4a,0.6987,0.0004260865132646113,0.0115,113.07
Mbp,0.6987,0.0004260865132646113,0.0115,73.96
Phldb2,0.6974,0.00044133177962179474,0.0117,3.88
Glb1,0.6974,0.00044133177962179474,0.0117,10.88
Vangl2,0.6974,0.00044133177962179474,0.0117,5.13
Fermt2,0.6974,0.00044133177962179474,0.0117,82.07
Cyp2s1,0.6974,0.00044133177962179474,0.0117,1.96
Col15a1,0.6974,0.00044133177962179474,0.0117,3.61
Egfl8,0.6974,0.00044133177962179474,0.0117,5.15
Rab11b,0.6974,0.00044133177962179474,0.0117,265.7
Pdzd2,0.6961,0.00045704097138347347,0.012,22.83
1700003E16Rik,0.6961,0.00045704097138347347,0.012,3.5
Gm38393,0.6961,0.00045704097138347347,0.012,8.63
