gene,spearman_rho,p_value,q_value,mean_CPM_across_clusters
Lsm2,-0.2532,0.26801791447109463,0.4687,27.67
Vps35,-0.2532,0.26801791447109463,0.4687,162.54
Gm42993,-0.2532,0.26801791447109463,0.4687,4.1
Gstm7,-0.2532,0.26801791447109463,0.4687,6.58
Pten,-0.2532,0.26801791447109463,0.4687,134.53
Ace,-0.2532,0.26801791447109463,0.4687,1.94
Agtrap,-0.2532,0.26801791447109463,0.4687,21.72
Peds1,-0.2532,0.26801791447109463,0.4687,133.3
Cdca8,-0.2532,0.26801791447109463,0.4687,1.89
Nudt8,-0.2536,0.26737449751319403,0.4687,0.8
Serpina3n,-0.2545,0.265487849343965,0.4662,118.54
Bloc1s3,-0.2545,0.265487849343965,0.4662,16.92
Uchl3,-0.2545,0.265487849343965,0.4662,33.97
Atp6v0d1,-0.2545,0.265487849343965,0.4662,178.66
Psen2,-0.2545,0.265487849343965,0.4662,43.0
Sc5d,-0.2545,0.265487849343965,0.4662,125.44
Gm19719,-0.2545,0.265487849343965,0.4662,1.27
Gm49405,-0.2545,0.265487849343965,0.4662,0.79
Ubald1,-0.2545,0.265487849343965,0.4662,51.77
Gm49012,-0.2549,0.2648450015481352,0.4662,0.73
Kbtbd3,-0.2558,0.262972942241723,0.4634,10.13
Foxg1,-0.2558,0.262972942241723,0.4634,27.68
Dclk1,-0.2558,0.262972942241723,0.4634,105.32
Ube2z,-0.2558,0.262972942241723,0.4634,139.62
Eif3b,-0.2558,0.262972942241723,0.4634,94.02
Rnaseh1,-0.2558,0.262972942241723,0.4634,12.21
Zswim4,-0.2558,0.262972942241723,0.4634,11.66
Atxn1l,-0.2558,0.262972942241723,0.4634,17.69
Rpl36a-ps1,-0.2558,0.262972942241723,0.4634,1.1
Mmp23,-0.2558,0.262972942241723,0.4634,2.3
Mill2,-0.2558,0.262972942241723,0.4634,12.33
Ppp2r5c,-0.2558,0.262972942241723,0.4634,157.31
Gm44321,-0.2558,0.262972942241723,0.4634,0.78
Filip1,-0.2558,0.262972942241723,0.4634,6.3
Gm13205,-0.2558,0.262972942241723,0.4634,2.96
Fcrl2,-0.2562,0.26225831891623,0.4634,0.6
Gm14391,-0.2571,0.2604731897004084,0.4611,0.93
Tceal5,-0.2571,0.2604731897004084,0.4611,34.55
Tmeff2,-0.2571,0.2604731897004084,0.4611,242.12
Zwint,-0.2571,0.2604731897004084,0.4611,773.45
Zfp964,-0.2571,0.2604731897004084,0.4611,1.31
Tmem8b,-0.2571,0.2604731897004084,0.4611,53.77
Lacc1,-0.2571,0.2604731897004084,0.4611,3.72
Arap1,-0.2571,0.2604731897004084,0.4611,3.96
Ankrd37,-0.2571,0.2604731897004084,0.4611,9.52
Cldnd1,-0.2571,0.2604731897004084,0.4611,114.14
Fam229a,-0.2575,0.2598315960045704,0.4611,0.74
Ndufc1,-0.2584,0.2579885873988545,0.4583,584.78
Serhl,-0.2584,0.2579885873988545,0.4583,10.32
Nsl1,-0.2584,0.2579885873988545,0.4583,0.85
D830030K20Rik,-0.2584,0.2579885873988545,0.4583,6.36
Yeats4,-0.2584,0.2579885873988545,0.4583,69.07
Atpsckmt,-0.2584,0.2579885873988545,0.4583,11.93
Albfm1,-0.2584,0.2579885873988545,0.4583,2.51
Shc2,-0.2584,0.2579885873988545,0.4583,68.44
Otud3,-0.2597,0.2555191301623943,0.4552,7.05
Eva1c,-0.2597,0.2555191301623943,0.4552,12.53
Bex1,-0.2597,0.2555191301623943,0.4552,242.65
Lsm3,-0.2597,0.2555191301623943,0.4552,45.31
Dusp10,-0.2597,0.2555191301623943,0.4552,10.37
Gm44646,-0.2597,0.2555191301623943,0.4552,3.71
Col4a2,-0.2597,0.2555191301623943,0.4552,17.6
Snupn,-0.2597,0.2555191301623943,0.4552,7.26
Uck2,-0.2597,0.2555191301623943,0.4552,18.62
Bod1,-0.2597,0.2555191301623943,0.4552,91.15
Sez6,-0.2597,0.2555191301623943,0.4552,16.0
P3h3,-0.2597,0.2555191301623943,0.4552,9.18
L1cam,-0.2597,0.2555191301623943,0.4552,311.22
Gm9970,-0.2597,0.2555191301623943,0.4552,0.61
Commd6,-0.2597,0.2555191301623943,0.4552,65.36
A130051J06Rik,-0.2601,0.25487894335726674,0.4552,0.53
Vti1b,-0.261,0.2530648119666416,0.452,209.14
H2az1,-0.261,0.2530648119666416,0.452,499.36
Ttl,-0.261,0.2530648119666416,0.452,142.84
Trim30a,-0.261,0.2530648119666416,0.452,1.09
Hdgfl3,-0.261,0.2530648119666416,0.452,133.11
Anapc11,-0.261,0.2530648119666416,0.452,512.54
Slc9b1,-0.261,0.2530648119666416,0.452,1.07
A930007A09Rik,-0.261,0.2530648119666416,0.452,0.99
Gmip,-0.261,0.2530648119666416,0.452,5.15
6330562C20Rik,-0.261,0.2530648119666416,0.452,7.75
Ryr3,-0.261,0.2530648119666416,0.452,2.51
Gm42670,-0.261,0.2530648119666416,0.452,1.73
St3gal1,-0.2611,0.2529050920870857,0.452,1.44
Chst5,-0.2618,0.2516837059463991,0.4509,1.82
H2ac24,-0.2618,0.2516837059463991,0.4509,1.26
Ttf1,-0.2623,0.2506256259413438,0.4492,7.41
Dhps,-0.2623,0.2506256259413438,0.4492,48.55
Gm49266,-0.2623,0.2506256259413438,0.4492,2.37
Dpm2,-0.2623,0.2506256259413438,0.4492,73.43
Fam228b,-0.2623,0.2506256259413438,0.4492,0.82
Pigbos1,-0.2623,0.2506256259413438,0.4492,62.99
Gtpbp8,-0.2623,0.2506256259413438,0.4492,19.13
Tmem106a,-0.2623,0.2506256259413438,0.4492,13.99
Unc13c,-0.2623,0.2506256259413438,0.4492,41.0
Gm47910,-0.2624,0.2504661042544517,0.4492,1.21
Arl13b,-0.2636,0.24820156437430954,0.446,12.94
Nemp1,-0.2636,0.24820156437430954,0.446,4.24
Cbfb,-0.2636,0.24820156437430954,0.446,428.27
Pih1d2,-0.2636,0.24820156437430954,0.446,1.31
1700030J22Rik,-0.2636,0.24820156437430954,0.446,2.94
C030013C21Rik,-0.2636,0.24820156437430954,0.446,0.99
1110006O24Rik,-0.2636,0.24820156437430954,0.446,2.88
Gm21781,-0.2636,0.24820156437430954,0.446,3.38
Tubd1,-0.2636,0.24820156437430954,0.446,2.59
Gm42984,-0.2636,0.24820156437430954,0.446,1.42
Rasl11a,-0.2636,0.24820156437430954,0.446,6.4
Gm47567,-0.2637,0.24804885097527762,0.446,0.72
Ssu72,-0.2649,0.24579261871540775,0.4434,126.41
Gtf3a,-0.2649,0.24579261871540775,0.4434,34.86
Trpm3,-0.2649,0.24579261871540775,0.4434,25.3
Tmem200c,-0.2649,0.24579261871540775,0.4434,12.91
Commd1,-0.2649,0.24579261871540775,0.4434,39.02
Trappc2b,-0.2649,0.24579261871540775,0.4434,55.21
Grn,-0.2649,0.24579261871540775,0.4434,44.22
Zmiz2,-0.2649,0.24579261871540775,0.4434,90.83
Cdr2,-0.2649,0.24579261871540775,0.4434,57.86
Inhba,-0.2649,0.24579261871540775,0.4434,1.88
Smim8,-0.2649,0.24579261871540775,0.4434,45.38
Nog,-0.2649,0.24579261871540775,0.4434,33.94
Hpca,-0.2649,0.24579261871540775,0.4434,37.1
0610043K17Rik,-0.2657,0.24443482575849934,0.4423,1.17
Gna14,-0.2657,0.24443482575849934,0.4423,1.57
Gm47887,-0.2659,0.2439782941203918,0.4415,0.39
Sash3,-0.2659,0.2439782941203918,0.4415,0.32
Leo1,-0.2662,0.2433987795806379,0.4406,11.46
Cpne2,-0.2662,0.2433987795806379,0.4406,43.15
Fut11,-0.2662,0.2433987795806379,0.4406,31.66
Smim15,-0.2662,0.2433987795806379,0.4406,28.82
Mfsd8,-0.2662,0.2433987795806379,0.4406,7.21
Exoc8,-0.2662,0.2433987795806379,0.4406,19.59
H2-K1,-0.2662,0.2433987795806379,0.4406,88.63
Cetn2,-0.2662,0.2433987795806379,0.4406,57.51
Maz,-0.2662,0.2433987795806379,0.4406,113.0
Ift52,-0.2662,0.2433987795806379,0.4406,17.17
Morn5,-0.2663,0.24323990796754313,0.4406,0.75
Hoxa1,-0.2675,0.24102003675627295,0.4381,2.1
Zfp938,-0.2675,0.24102003675627295,0.4381,40.6
Rab10,-0.2675,0.24102003675627295,0.4381,237.93
Tcp11l2,-0.2675,0.24102003675627295,0.4381,26.06
Zfp229,-0.2675,0.24102003675627295,0.4381,6.98
Epn2,-0.2675,0.24102003675627295,0.4381,81.39
Commd2,-0.2675,0.24102003675627295,0.4381,26.64
Septin1,-0.2675,0.24102003675627295,0.4381,13.84
Spred3,-0.2675,0.24102003675627295,0.4381,10.96
Sspn,-0.2675,0.24102003675627295,0.4381,13.01
Osbpl5,-0.2675,0.24102003675627295,0.4381,36.39
Nmral1,-0.2675,0.24102003675627295,0.4381,2.07
2310034O05Rik,-0.2675,0.24102003675627295,0.4381,0.78
Efna2,-0.2675,0.24102003675627295,0.4381,4.72
Ctnnd1,-0.2675,0.24102003675627295,0.4381,62.64
Anxa5,-0.2675,0.24102003675627295,0.4381,428.32
Ugcg,-0.2675,0.24102003675627295,0.4381,105.17
Gm37422,-0.2687,0.2389763838774076,0.4366,0.29
Polm,-0.2688,0.2386563792030716,0.4361,5.76
Arhgap19,-0.2688,0.2386563792030716,0.4361,2.39
Apex1,-0.2688,0.2386563792030716,0.4361,21.61
Rab7,-0.2688,0.2386563792030716,0.4361,249.77
Ccdc116,-0.2688,0.2386563792030716,0.4361,0.96
Gm26881,-0.2688,0.2386563792030716,0.4361,9.27
Oxsm,-0.2688,0.2386563792030716,0.4361,6.89
Gsto1,-0.2688,0.2386563792030716,0.4361,20.03
Cyp4f39,-0.2688,0.2386563792030716,0.4361,1.16
Acly,-0.2688,0.2386563792030716,0.4361,630.15
Cdh13,-0.2688,0.2386563792030716,0.4361,9.01
Tnfaip3,-0.2688,0.2386563792030716,0.4361,3.56
Kdm2b,-0.2688,0.2386563792030716,0.4361,11.74
Dctn6,-0.2688,0.2386563792030716,0.4361,96.74
Mcat,-0.2688,0.2386563792030716,0.4361,9.59
Arl15,-0.2688,0.2386563792030716,0.4361,7.42
Rufy4,-0.2691,0.23811422874312493,0.4361,0.32
Gm11826,-0.2697,0.2370685670199737,0.4349,0.39
Sfr1,-0.2701,0.2363077950605595,0.4336,115.79
Gm41662,-0.2701,0.2363077950605595,0.4336,0.63
Cpped1,-0.2701,0.2363077950605595,0.4336,16.83
Nol8,-0.2701,0.2363077950605595,0.4336,17.49
Ctnna1,-0.2701,0.2363077950605595,0.4336,78.04
Gria4,-0.2701,0.2363077950605595,0.4336,69.27
Zbtb8a,-0.2701,0.2363077950605595,0.4336,6.72
Mettl18,-0.2701,0.2363077950605595,0.4336,1.19
Zfp959,-0.2701,0.2363077950605595,0.4336,1.48
Rab12,-0.2701,0.2363077950605595,0.4336,31.49
Nell1,-0.2702,0.23614965540895233,0.4336,8.82
Pdgfra,-0.2704,0.23589366444459997,0.4336,0.47
Rnf182,-0.2714,0.23397427165138135,0.4306,24.51
Coa3,-0.2714,0.23397427165138135,0.4306,420.18
Smim1,-0.2714,0.23397427165138135,0.4306,74.42
Wwc2,-0.2714,0.23397427165138135,0.4306,45.3
4933402D24Rik,-0.2714,0.23397427165138135,0.4306,0.89
Hmgn3,-0.2714,0.23397427165138135,0.4306,128.52
Dynlrb2,-0.2714,0.23397427165138135,0.4306,0.59
Hsf2bp,-0.2714,0.23397427165138135,0.4306,0.69
Gm3604,-0.2714,0.23397427165138135,0.4306,1.65
Ythdf2,-0.2714,0.23397427165138135,0.4306,54.49
Gm3724,-0.2717,0.23355522525583228,0.4306,1.14
Srgap1,-0.2727,0.2316557954857192,0.4282,46.37
Blvrb,-0.2727,0.2316557954857192,0.4282,47.67
Galk1,-0.2727,0.2316557954857192,0.4282,8.73
Fhip1a,-0.2727,0.2316557954857192,0.4282,6.48
Zfp120,-0.2727,0.2316557954857192,0.4282,7.08
Ypel3,-0.2727,0.2316557954857192,0.4282,864.32
Adamtsl4,-0.2727,0.2316557954857192,0.4282,1.77
Bzw2,-0.2727,0.2316557954857192,0.4282,20.8
Med28,-0.2727,0.2316557954857192,0.4282,168.52
Gm28875,-0.2727,0.2316557954857192,0.4282,5.74
A130048G24Rik,-0.2731,0.23102486518852303,0.4282,0.43
Eid2,-0.274,0.22935235226578057,0.4256,42.59
6030443J06Rik,-0.274,0.22935235226578057,0.4256,2.49
Gab3,-0.274,0.22935235226578057,0.4256,2.48
Tomm7,-0.274,0.22935235226578057,0.4256,377.84
Mrpl22,-0.274,0.22935235226578057,0.4256,21.54
Arpc2,-0.274,0.22935235226578057,0.4256,149.24
Cmc1,-0.274,0.22935235226578057,0.4256,46.66
Hmgb2,-0.274,0.22935235226578057,0.4256,8.29
9430038I01Rik,-0.274,0.22935235226578057,0.4256,14.97
Bcl11a,-0.2748,0.22804907872291477,0.4244,5.67
Casp9,-0.2753,0.22706392689035135,0.4226,38.75
Col6a2,-0.2753,0.22706392689035135,0.4226,16.24
D730045B01Rik,-0.2753,0.22706392689035135,0.4226,2.67
3110070M22Rik,-0.2753,0.22706392689035135,0.4226,1.53
Timm23,-0.2753,0.22706392689035135,0.4226,89.67
Ywhaz,-0.2753,0.22706392689035135,0.4226,941.69
Slc7a6,-0.2753,0.22706392689035135,0.4226,19.3
Rpl17-ps8,-0.2753,0.22706392689035135,0.4226,0.67
Galnt7,-0.2753,0.22706392689035135,0.4226,11.22
Camk2n1,-0.2753,0.22706392689035135,0.4226,133.97
Carns1,-0.2753,0.22706392689035135,0.4226,12.49
Ppp2r2a,-0.2766,0.22479050345941637,0.42,80.61
Adcyap1,-0.2766,0.22479050345941637,0.42,224.11
Esyt1,-0.2766,0.22479050345941637,0.42,208.94
Gm20939,-0.2766,0.22479050345941637,0.42,3.85
Aldh1l1,-0.2766,0.22479050345941637,0.42,4.81
Snx6,-0.2766,0.22479050345941637,0.42,95.06
Arhgap11a,-0.2766,0.22479050345941637,0.42,1.64
Col12a1,-0.2766,0.22479050345941637,0.42,4.33
2310033P09Rik,-0.2766,0.22479050345941637,0.42,22.95
Pld2,-0.2766,0.22479050345941637,0.42,12.06
C2,-0.2767,0.22463376080926872,0.42,1.47
Enpp3,-0.277,0.22416304663371964,0.42,0.61
Gm6055,-0.277,0.22416304663371964,0.42,1.43
Crip1,-0.2779,0.2225320652788448,0.4174,328.74
Tpm3,-0.2779,0.2225320652788448,0.4174,50.89
Kctd9,-0.2779,0.2225320652788448,0.4174,48.42
Rnf10,-0.2779,0.2225320652788448,0.4174,141.08
Zfp932,-0.2779,0.2225320652788448,0.4174,12.14
Atp5f1e,-0.2779,0.2225320652788448,0.4174,1057.09
St8sia6,-0.2779,0.2225320652788448,0.4174,0.97
2610027K06Rik,-0.2779,0.2225320652788448,0.4174,4.38
Calml4,-0.2779,0.2225320652788448,0.4174,15.61
Galnt18,-0.2779,0.2225320652788448,0.4174,8.9
Fryl,-0.2792,0.22028859486514024,0.4148,109.07
Gm26614,-0.2792,0.22028859486514024,0.4148,14.29
Exosc7,-0.2792,0.22028859486514024,0.4148,23.87
Trim67,-0.2792,0.22028859486514024,0.4148,61.12
Zfp764,-0.2792,0.22028859486514024,0.4148,3.42
Egfl7,-0.2792,0.22028859486514024,0.4148,64.09
Myo7a,-0.2792,0.22028859486514024,0.4148,5.67
Sem1,-0.2792,0.22028859486514024,0.4148,717.02
G6pdx,-0.2792,0.22028859486514024,0.4148,35.92
Gm15496,-0.2792,0.22028859486514024,0.4148,5.15
Pla2g3,-0.2792,0.22028859486514024,0.4148,8.19
Glod4,-0.2792,0.22028859486514024,0.4148,14.58
Gch1,-0.2792,0.22028859486514024,0.4148,33.76
Gm34961,-0.2792,0.22028859486514024,0.4148,1.3
A830092H15Rik,-0.2795,0.21984205544331564,0.4148,0.59
Ch25h,-0.2796,0.21966362538013245,0.4148,1.24
Or2w1b,-0.28,0.21901650346446902,0.4139,3.36
Gm44096,-0.2801,0.2187237900112017,0.4135,0.6
Tiam2,-0.2805,0.2180600739502556,0.4123,8.15
Igfbp3,-0.2805,0.2180600739502556,0.4123,8.32
Snx8,-0.2805,0.2180600739502556,0.4123,14.13
Rps10-ps1,-0.2805,0.2180600739502556,0.4123,5.28
Hspa2,-0.2805,0.2180600739502556,0.4123,25.15
mt-Co2,-0.2805,0.2180600739502556,0.4123,20.79
Gm6658,-0.2805,0.2180600739502556,0.4123,2.46
Thnsl1,-0.2805,0.2180600739502556,0.4123,14.23
Dph3,-0.2805,0.2180600739502556,0.4123,113.69
Acyp2,-0.2805,0.2180600739502556,0.4123,98.36
Apba1,-0.2805,0.2180600739502556,0.4123,195.15
Zmat5,-0.2805,0.2180600739502556,0.4123,48.45
Apln,-0.2805,0.2180600739502556,0.4123,0.96
Ccdc186,-0.2818,0.2158464834864694,0.4097,43.88
Acap2,-0.2818,0.2158464834864694,0.4097,28.51
Npy1r,-0.2818,0.2158464834864694,0.4097,7.0
Blcap,-0.2818,0.2158464834864694,0.4097,66.9
Med7,-0.2818,0.2158464834864694,0.4097,16.53
Pradc1,-0.2818,0.2158464834864694,0.4097,13.1
Mybl2,-0.2818,0.2158464834864694,0.4097,0.6
Elfn1,-0.2818,0.2158464834864694,0.4097,10.12
Rpl41,-0.2818,0.2158464834864694,0.4097,4700.18
Pdap1,-0.2818,0.2158464834864694,0.4097,150.35
Zswim6,-0.2818,0.2158464834864694,0.4097,36.85
Tmem233,-0.2818,0.2158464834864694,0.4097,60.86
Taf9b,-0.2818,0.2158464834864694,0.4097,25.08
Gm31805,-0.2821,0.2153915347057571,0.4097,0.57
Mrps36-ps2,-0.2821,0.2153915347057571,0.4097,0.67
Ptcra,-0.2826,0.21458997868403076,0.4093,1.24
Rad51,-0.2831,0.2136478036513266,0.4076,1.22
H4c4,-0.2831,0.2136478036513266,0.4076,1.3
Ccdc25,-0.2831,0.2136478036513266,0.4076,35.86
Vamp7-ps,-0.2831,0.2136478036513266,0.4076,7.1
Dnlz,-0.2831,0.2136478036513266,0.4076,190.81
Etfa,-0.2831,0.2136478036513266,0.4076,48.3
Pabpc1,-0.2831,0.2136478036513266,0.4076,85.27
2700099C18Rik,-0.2831,0.2136478036513266,0.4076,0.56
Fads1,-0.2831,0.2136478036513266,0.4076,85.88
Gpr155,-0.2831,0.2136478036513266,0.4076,22.99
Fbxl8,-0.2831,0.2136478036513266,0.4076,3.74
Glud1,-0.2831,0.2136478036513266,0.4076,131.85
Rpp21,-0.2831,0.2136478036513266,0.4076,68.03
Ten1,-0.2831,0.2136478036513266,0.4076,76.06
Nek7,-0.2831,0.2136478036513266,0.4076,126.01
Cstad,-0.2831,0.2136478036513266,0.4076,1.4
Tada3,-0.2831,0.2136478036513266,0.4076,25.19
Tmed2b,-0.2835,0.2130268169374194,0.4076,0.46
Rps26-ps1,-0.2844,0.2114640138526405,0.4048,5.32
Tmco4,-0.2844,0.2114640138526405,0.4048,1.75
B230307C23Rik,-0.2844,0.2114640138526405,0.4048,6.1
Zfp947,-0.2844,0.2114640138526405,0.4048,1.38
Hrct1,-0.2844,0.21145754291510122,0.4048,0.54
Lyrm1,-0.2844,0.2114640138526405,0.4048,18.61
Cenpl,-0.2844,0.2114640138526405,0.4048,4.05
S1pr2,-0.2857,0.20929509273355457,0.4021,5.88
Gnpda2,-0.2857,0.20929509273355457,0.4021,50.78
Nkiras2,-0.2857,0.20929509273355457,0.4021,22.67
Ccdc85a,-0.2857,0.20929509273355457,0.4021,43.2
Ndst3,-0.2857,0.20929509273355457,0.4021,10.4
Fam162a,-0.2857,0.20929509273355457,0.4021,116.06
Rheb,-0.2857,0.20929509273355457,0.4021,268.41
Taf11,-0.2857,0.20929509273355457,0.4021,55.72
8030487O14Rik,-0.2858,0.20914066297643455,0.4021,1.51
Tph1,-0.2861,0.20867692559110937,0.4021,1.47
Zswim3,-0.287,0.20714101817766592,0.3996,3.59
Septin8,-0.287,0.20714101817766592,0.3996,115.27
Supt3,-0.287,0.20714101817766592,0.3996,17.8
Atxn7l3b,-0.287,0.20714101817766592,0.3996,326.69
Trim7,-0.287,0.20714101817766592,0.3996,4.12
Rabepk,-0.287,0.20714101817766592,0.3996,18.53
Rab40b,-0.287,0.20714101817766592,0.3996,2.56
Sdhb,-0.287,0.20714101817766592,0.3996,180.65
Vps41,-0.287,0.20714101817766592,0.3996,123.88
Snapc5,-0.287,0.20714101817766592,0.3996,87.94
Hrh2,-0.2876,0.2061922763902383,0.3992,0.49
Gm49901,-0.2876,0.2061922763902383,0.3992,0.62
Ctxn1,-0.2883,0.2050017673142075,0.3971,224.57
H2ac18,-0.2883,0.2050017673142075,0.3971,1.24
Rab1a,-0.2883,0.2050017673142075,0.3971,266.16
Dmkn,-0.2883,0.2050017673142075,0.3971,19.53
Triqk,-0.2883,0.2050017673142075,0.3971,28.53
Hs6st1,-0.2883,0.2050017673142075,0.3971,124.05
4930578M01Rik,-0.2883,0.2050017673142075,0.3971,24.85
Kxd1,-0.2883,0.2050017673142075,0.3971,65.33
Gm29054,-0.2883,0.2050017673142075,0.3971,1.44
Gm7160,-0.2883,0.2050017673142075,0.3971,2.61
Galnt3,-0.289,0.2038454274327123,0.3962,0.6
Gm5602,-0.2896,0.2028773165232885,0.3944,0.77
Atp5mf,-0.2896,0.2028773165232885,0.3944,820.82
Diaph1,-0.2896,0.2028773165232885,0.3944,29.23
Agpat2,-0.2896,0.2028773165232885,0.3944,13.23
Kat5,-0.2896,0.2028773165232885,0.3944,36.67
Mtln,-0.2896,0.2028773165232885,0.3944,127.22
Dqx1,-0.2896,0.2028773165232885,0.3944,6.6
Pir,-0.2896,0.2028773165232885,0.3944,15.71
Colq,-0.2896,0.2028773165232885,0.3944,37.28
Gm48284,-0.29,0.2022636192838649,0.3944,0.64
B9d1os,-0.2902,0.20191399413007668,0.3942,0.6
Gm14964,-0.2906,0.2013409146195688,0.3932,1.23
Smap1,-0.2909,0.2007676414411941,0.3921,176.0
H2bc6,-0.2909,0.2007676414411941,0.3921,7.11
Zbtb7b,-0.2909,0.2007676414411941,0.3921,8.68
Mgmt,-0.2909,0.2007676414411941,0.3921,5.0
Ifitm2,-0.2909,0.2007676414411941,0.3921,34.99
Dnaaf4,-0.2909,0.2007676414411941,0.3921,1.81
Dclk3,-0.2909,0.2007676414411941,0.3921,12.54
Atp11c,-0.2909,0.2007676414411941,0.3921,25.69
Ebpl,-0.2909,0.2007676414411941,0.3921,78.77
Pex11g,-0.291,0.2006147117651874,0.3921,1.94
Tec,-0.2919,0.19923515019877902,0.3903,0.7
Zfand3,-0.2922,0.19867271696574043,0.3893,140.22
Irf7,-0.2922,0.19867271696574043,0.3893,3.94
Ano6,-0.2922,0.19867271696574043,0.3893,44.2
Kank2,-0.2922,0.19867271696574043,0.3893,7.51
Cmc4,-0.2922,0.19867271696574043,0.3893,16.72
Uba3,-0.2922,0.19867271696574043,0.3893,91.25
Fscn2,-0.2922,0.19867271696574043,0.3893,0.74
Zfp655,-0.2922,0.19867271696574043,0.3893,36.26
Ndufb8,-0.2922,0.19867271696574043,0.3893,581.05
Fbxw11,-0.2922,0.19867271696574043,0.3893,110.94
Hpgds,-0.2923,0.1985201818243985,0.3893,0.59
Gm47015,-0.2924,0.198398958939099,0.3893,0.49
Snhg3,-0.2935,0.19659251726168667,0.3866,73.38
Pvt1,-0.2935,0.19659251726168667,0.3866,22.48
4930412C18Rik,-0.2935,0.19659251726168667,0.3866,7.05
Efhc1,-0.2935,0.19659251726168667,0.3866,0.99
Tc2n,-0.2935,0.19659251726168667,0.3866,3.06
Elapor2,-0.2935,0.19659251726168667,0.3866,64.2
Blm,-0.2935,0.19659251726168667,0.3866,3.14
6430550D23Rik,-0.2935,0.19659251726168667,0.3866,1.5
Tle6,-0.2935,0.19659251726168667,0.3866,1.76
Aida,-0.2935,0.19659251726168667,0.3866,83.77
Tmem238l,-0.2938,0.1961042979308154,0.3866,0.42
Gm15950,-0.2939,0.1959835711728159,0.3866,0.44
Oas1c,-0.2948,0.1945270157662032,0.3839,10.11
Klf13,-0.2948,0.1945270157662032,0.3839,125.85
Vwf,-0.2948,0.1945270157662032,0.3839,1.57
Gm20621,-0.2948,0.1945270157662032,0.3839,3.93
Akt1,-0.2948,0.1945270157662032,0.3839,155.46
Dmac2l,-0.2948,0.1945270157662032,0.3839,18.21
Hscb,-0.2948,0.1945270157662032,0.3839,17.1
1110059G10Rik,-0.2948,0.1945270157662032,0.3839,19.57
Gm9416,-0.2948,0.1945270157662032,0.3839,1.64
Rad50,-0.2948,0.1945270157662032,0.3839,21.79
Xlr4b,-0.2952,0.1939197144292657,0.3839,0.51
Rarg,-0.2961,0.1924761851943924,0.3813,9.65
Unc93b1,-0.2961,0.1924761851943924,0.3813,4.6
Camp,-0.2961,0.1924761851943924,0.3813,1.31
Tut7,-0.2961,0.1924761851943924,0.3813,34.88
Eif2s2,-0.2961,0.1924761851943924,0.3813,198.62
Man2b2,-0.2961,0.1924761851943924,0.3813,4.82
Faap24,-0.2961,0.1924761851943924,0.3813,4.12
Zmynd11,-0.2974,0.19043999754486576,0.3782,98.68
Clip4,-0.2974,0.19043999754486576,0.3782,57.98
3110040N11Rik,-0.2974,0.19043999754486576,0.3782,21.43
Tshz2,-0.2974,0.19043999754486576,0.3782,264.03
Aamdc,-0.2974,0.19043999754486576,0.3782,78.98
Zfp677,-0.2974,0.19043999754486576,0.3782,2.1
Slc66a2,-0.2974,0.19043999754486576,0.3782,59.35
Gm26670,-0.2974,0.19043999754486576,0.3782,0.79
Mrps36-ps1,-0.2974,0.19043999754486576,0.3782,0.64
Kcnk18,-0.2974,0.19043999754486576,0.3782,9.08
Vamp3,-0.2974,0.19043999754486576,0.3782,20.59
Sprn,-0.2974,0.19043999754486576,0.3782,40.27
Adam12,-0.2978,0.18983607535229954,0.3782,4.64
Lsp1,-0.2984,0.18892820582569586,0.3768,0.84
Ccdc43,-0.2987,0.18841842410537243,0.3758,26.67
Rad51d,-0.2987,0.18841842410537243,0.3758,16.5
Zfp40,-0.2987,0.18841842410537243,0.3758,10.86
Lrriq1,-0.2987,0.18841842410537243,0.3758,1.94
Gm2237,-0.2987,0.18841842410537243,0.3758,1.36
Gabarap,-0.2987,0.18841842410537243,0.3758,714.65
Lig1,-0.2987,0.18841842410537243,0.3758,23.35
Gm17259,-0.2987,0.18841842410537243,0.3758,2.9
Tmem45b,-0.2995,0.1871404419257337,0.3745,0.98
Or8b40,-0.3,0.18641143545847974,0.3731,68.18
2310010J17Rik,-0.3,0.18641143545847974,0.3731,19.37
Raph1,-0.3,0.18641143545847974,0.3731,134.55
Capn5,-0.3,0.18641143545847974,0.3731,70.3
2410022M11Rik,-0.3,0.18641143545847974,0.3731,5.44
Map3k3,-0.3,0.18641143545847974,0.3731,6.43
Smco4,-0.3,0.18641143545847974,0.3731,8.21
Bfsp1,-0.3,0.18641143545847974,0.3731,2.33
Gk5,-0.3,0.18641143545847974,0.3731,3.9
Fbxo25,-0.3,0.18641143545847974,0.3731,39.08
H2-T22,-0.3,0.18641143545847974,0.3731,27.5
Kcnd1,-0.3,0.18641143545847974,0.3731,41.03
Eapp,-0.3,0.18641143545847974,0.3731,40.18
Upb1,-0.3,0.18641143545847974,0.3731,12.71
Magt1,-0.3,0.18641143545847974,0.3731,80.73
Slamf1,-0.3001,0.18626142538329357,0.3731,0.7
Coro2b,-0.3013,0.184419001487306,0.3708,144.39
Nudcd2,-0.3013,0.184419001487306,0.3708,14.17
Rwdd3,-0.3013,0.184419001487306,0.3708,3.99
Gt(ROSA)26Sor,-0.3013,0.184419001487306,0.3708,37.36
Scpep1,-0.3013,0.184419001487306,0.3708,55.66
Nup54,-0.3013,0.184419001487306,0.3708,15.89
Manea,-0.3013,0.184419001487306,0.3708,50.96
