gene,nav11_mean,nav18_mean,ratio,kruskal_p,is_target
Kcnk1,41.865,14.598,2.868,0.07419931719571338,False
Kcnk3,47.458,404.977,0.117,0.010924033386052563,False
Kcnk9,113.463,13.607,8.339,0.008764828179775055,False
Kifc3,6.227,6.434,0.968,0.9092690452142275,False
Klf11,12.248,13.257,0.924,0.4704479999364616,False
Klhl15,19.517,17.025,1.146,0.11936102290912955,False
Kmt5a,69.845,68.651,1.017,0.9092690452142275,False
Ksr2,17.238,17.452,0.988,0.9696981596092581,False
Lamc1,23.067,17.344,1.33,0.10237755581065143,False
Lgi3,51.464,10.655,4.83,0.20999967175560622,False
Lmbr1l,5.877,7.575,0.776,0.732439899903881,False
Lmo1,109.69,86.264,1.272,0.13847671503211265,False
Lmo7,7.475,21.516,0.347,0.010924033386052563,False
Lox,0.96,56.269,0.017,0.0005466219592185199,False
Lrfn4,21.969,18.133,1.212,0.03036847223425402,False
Lrrc3,20.327,17.764,1.144,0.07419931719571338,False
Lrrc4b,45.588,15.4,2.96,0.00438548939209379,False
Lrrc55,42.173,8.232,5.123,0.006995319905603779,False
Luzp2,74.597,94.169,0.792,0.3822828750399312,False
Lxn,72.947,145.034,0.503,0.02501152559403936,False
Lypd1,1106.717,37.813,29.268,0.002691282834948115,False
Lzic,5.921,5.236,1.131,0.42503065278493135,False
Lzts3,9.286,6.891,1.348,0.07419931719571338,False
Macroh2a2,22.271,13.038,1.708,0.00438548939209379,False
Mad2l2,15.909,18.056,0.881,0.4704479999364616,False
Magt1,65.75,96.146,0.684,0.13847671503211265,False
Man1a2,80.285,75.656,1.061,0.4704479999364616,False
Map2k7,74.464,59.559,1.25,0.010924033386052627,False
Matk,24.652,11.714,2.104,0.07419931719571338,False
Matn2,22.483,23.643,0.951,0.6214268342178658,False
Mbd3,99.767,79.43,1.256,0.04408270855615712,False
Mcur1,10.724,18.785,0.571,0.0007226712449063665,False
Mdfic,14.042,22.319,0.629,0.6214268342178658,False
Med4,20.25,19.89,1.018,0.6214268342178658,False
Mfsd10,18.092,19.283,0.938,0.4704479999364616,False
Mgme1,5.683,5.794,0.981,0.6760528085643427,False
Mib1,93.342,98.352,0.949,0.732439899903881,False
Mlec,119.995,102.393,1.172,0.10237755581065143,False
Mlh3,5.34,5.53,0.966,0.6760528085643427,False
Mmd,81.174,94.103,0.863,0.732439899903881,False
Mocs3,6.33,5.819,1.088,0.568811400413345,False
Morn4,73.102,63.163,1.157,0.4704479999364616,False
Moxd1,0.939,14.905,0.063,0.0007226712449063665,False
Mpnd,116.426,108.003,1.078,0.4704479999364616,False
Mpz,123.406,121.347,1.017,0.6214268342178658,False
