cell,subtype,Oprl1,Scn1a,Calb2,Calb1,Lypd1,Pou4f1,Pvalb
440,Ia,0.0,82.59383249327182,10936.353049661062,14.659511394909718,0.0,0.0,993.9863823865613
442,Ia,92.89019351974787,182.20768728873622,10199.164613480778,0.0,0.0,0.0,795.8188694816861
443,Ia,0.0,233.97123231570333,6441.335798432914,0.0,0.0,0.0,880.9555760594238
444,Ic,45.538938717122136,212.65431015610247,261.53555630200424,0.0,5058.582293457935,873.5956041972697,978.8782882038272
447,Ic,70.41822969662299,253.28727580800825,357.54992597897717,0.0,5148.173056347685,393.03197970208174,1026.2501692221024
448,Ic,40.96952812558106,261.0494292104332,0.0,0.0,5515.654036496496,739.5525077027966,740.6030084239652
451,Ia,143.5985875754459,195.18254621905268,10793.943346174718,0.0,0.0,0.0,961.9711206510453
453,Ib,1.5917770917808058,460.28887570661635,6581.202385967742,96.0372178707753,0.0,216.4816844821896,541.4695073874375
454,Ic,60.15024403141973,312.9692384759808,2626.2473735176645,53.25802856948622,780.0734772824746,1149.1202870169143,809.8353167771876
460,Ib,38.44865919242615,363.0268751656981,3966.918058306944,108.63981609022738,0.0,100.14534487329601,791.7741329044966
463,Ic,0.0,417.8519286739589,0.0,0.0,4213.107830902186,1786.3309420747883,969.0371162972853
464,Ia,28.57205737732452,432.05584061116406,10712.977080962786,0.0,0.0,7.722177669547167,513.1387061414092
465,Ia,0.0,191.7392632732401,10340.032559835641,0.0,0.0,0.0,595.3772917993834
466,Ia,97.09584166118887,359.84401382421436,10421.206724491944,0.0,0.0,0.0,728.9943383507791
467,Ia,0.0,266.43497906952445,13950.48368528372,0.0,0.0,0.0,794.554880855632
486,Ib,112.9807242005882,264.59734372365733,1937.6486896577562,200.20418485285578,0.0,115.3222936140719,934.8715883333646
488,Ib,0.0,222.1094876587383,2913.1805742668803,71.29901200473785,0.0,139.98497121349052,1235.2273859878403
490,Ib,79.68118083968619,303.3787181599904,640.9908325325866,110.37319123719494,141.0652016347037,229.00961604294994,697.0627746049585
492,Ib,28.387705082159595,248.39241946889646,1098.5028020185687,504.89561181841,14.700775846118361,5.576156355424207,855.1796156000578
493,Ic,76.16080832004563,369.6039227296332,116.85457354987393,13.066805349027439,4259.031869191572,700.7541040035571,1152.49223178422
495,Ic,37.20174407043706,293.99254384867515,76.3788019853221,0.0,2258.112943178122,803.9527346903301,1066.3402570278374
496,Ib,13.65558019767073,397.5635962094592,1612.2895256113509,603.0180073653233,0.0,137.48686426291215,879.2331522727541
497,Ib,0.0,125.92544345296251,1920.7248673802442,161.1459697827183,0.0,4.34225667079181,1110.1702888324394
498,Ia,50.407368242262194,343.5371726945478,12061.606570490869,0.0,0.0,0.0,947.3297792486014
