gene,log2_neuron_over_glia
Odr4,0.133
Tpr,-0.431
Prg4,-0.377
Hmcn1,-4.237
Gm20631,-0.193
Gm29188,0.0
C730036E19Rik,0.0
Gm47985,-0.214
Gm8947,0.0
Gm47995,0.0
3110040M04Rik,0.0
Gm47996,0.0
Gm10138,-0.364
Ivns1abp,-0.51
Swt1,-0.953
Trmt1l,-0.295
Rnf2,-0.73
Gm28181,0.0
Fam129a,-5.382
2810414N06Rik,0.182
Edem3,-0.029
1700025G04Rik,0.029
Gm28610,0.0
Tsen15,-0.009
Colgalt2,-2.705
Rgl1,-2.54
Gm15479,0.0
Gm28792,0.612
Apobec4,0.0
Arpc5,0.272
Ncf2,-4.288
Smg7,-0.09
Gm28791,-0.757
Nmnat2,1.438
Gm28960,0.0
Lamc2,0.251
Lamc1,-3.002
E330020D12Rik,-1.964
Shcbp1l,-1.255
Dhx9,0.027
Npl,-1.891
Rgs8,2.154
Gm29529,0.0
C230024C17Rik,-0.601
Rgs16,-3.571
Gm28513,-0.179
Rnasel,0.224
Gm28512,-0.391
Rgsl1,0.042
Teddm2,-0.083
Teddm1b,0.0
Teddm1a,0.0
Glul,-0.88
Gm29290,-0.265
Gm29291,-0.964
Gm28286,0.0
A830008E24Rik,-0.77
Zfp648,0.0
4930452N14Rik,0.0
4930532M18Rik,0.0
Cacna1e,1.315
Gm29282,0.0
Gm9530,-0.801
Ier5,-2.052
Mr1,-4.214
Stx6,-0.453
BC034090,0.173
Gm37622,0.0
Xpr1,0.29
Gm5532,1.065
Acbd6,0.502
Lhx4,0.597
Qsox1,-0.999
Gm37571,0.0
Cep350,-0.355
Tor1aip1,-1.638
Tor1aip2,0.075
Fam163a,1.794
Tdrd5,0.932
4930518J20Rik,0.421
Nphs2,0.098
Axdnd1,-0.768
Gm2000,-0.183
Soat1,-2.234
