,median_log2fc,ci_lo,ci_hi,top30_support,n_datasets,n_positive,n_deposits,neuron_over_glia_log2
Fnbp1l,-0.086,-0.326,-0.004,0.0,12,2,7,0.482
Tax1bp3,-0.086,-0.181,-0.021,0.0,12,3,7,-2.05
Nelfcd,-0.086,-0.18,-0.003,0.0,12,2,7,0.39
Chchd3,-0.086,-0.165,-0.056,0.0,13,2,8,-0.3
Polr2e,-0.086,-0.133,-0.0,0.0,13,3,8,-0.263
Polr3k,-0.086,-0.111,0.012,0.0,13,5,8,0.563
Mbp,-0.086,-0.157,0.094,0.0,13,5,8,-3.119
Fbxl8,-0.087,-0.362,0.131,0.0003,10,4,6,0.186
Smim8,-0.087,-0.16,0.052,0.0,12,4,7,0.171
Polr2i,-0.087,-0.169,-0.025,0.0,13,3,8,0.113
Pycr2,-0.087,-0.137,-0.051,0.0,13,2,8,-0.34
Adprm,-0.087,-0.137,0.037,0.0,12,4,7,0.29
Acot11,-0.087,-0.321,0.323,0.0,11,5,7,-0.265
Lsm8,-0.087,-0.128,0.008,0.0,11,3,6,-0.718
Mettl6,-0.087,-0.146,0.025,0.0,13,5,8,-0.475
Ddx27,-0.087,-0.145,0.026,0.0,13,4,8,-0.341
Nck1,-0.087,-0.151,0.007,0.0,13,4,8,-0.647
Commd3,-0.087,-0.125,0.01,0.0,13,4,8,0.234
Scp2,-0.087,-0.143,-0.025,0.0,13,3,8,-0.681
Sema4c,-0.087,-0.353,0.147,0.0,11,3,6,-1.602
Yif1a,-0.087,-0.145,-0.009,0.0,13,3,8,-0.452
Ly96,-0.087,-0.367,0.003,0.0,10,2,6,-1.294
Zcchc10,-0.087,-0.209,-0.035,0.0,13,3,8,0.161
Prorsd1,-0.087,-0.186,0.219,0.0,12,4,7,-1.064
Znhit3,-0.087,-0.194,0.031,0.0,13,5,8,0.773
Fbxw4,-0.087,-0.237,0.117,0.0,13,6,8,-0.077
P3h4,-0.087,-0.233,-0.011,0.0,10,2,5,-1.638
Snrpf,-0.088,-0.16,-0.02,0.0,13,3,8,-0.145
Rcc1,-0.088,-0.292,0.072,0.0,12,5,7,-0.684
Zfp383,-0.088,-0.19,0.223,0.0,10,4,5,-1.116
Gtf2a2,-0.088,-0.13,-0.025,0.0,13,2,8,0.058
Pfdn6,-0.088,-0.111,0.019,0.0,11,3,6,0.291
Rpp25l,-0.088,-0.166,-0.002,0.0,12,2,7,-0.484
Gm10638,-0.088,-0.198,0.341,0.0191,10,4,7,0.028
Lifr,-0.088,-0.2,0.209,0.0,13,5,8,0.228
Ppm1m,-0.088,-0.234,0.215,0.0001,11,5,7,-2.095
Nop16,-0.088,-0.154,-0.003,0.0,13,3,8,0.083
Irs1,-0.088,-0.423,0.241,0.0002,10,4,5,-0.943
Emd,-0.088,-0.156,-0.017,0.0,13,3,8,-0.249
Rpl35,-0.088,-0.161,-0.035,0.0,13,0,8,-0.258
Polr2c,-0.088,-0.141,-0.05,0.0,13,1,8,-0.167
H2-T23,-0.088,-0.222,0.509,0.0561,10,4,8,-1.638
Ndufaf6,-0.089,-0.182,0.032,0.0,12,3,7,1.024
Gamt,-0.089,-0.15,0.031,0.0,13,4,8,-1.477
Dnajb1,-0.089,-0.103,0.007,0.0,13,4,8,-1.786
Jph1,-0.089,-0.17,0.17,0.0,11,5,6,0.099
Cmc1,-0.089,-0.131,-0.045,0.0,13,2,8,0.018
Mif4gd,-0.089,-0.248,-0.038,0.0,12,2,7,-2.773
Chrac1,-0.089,-0.235,-0.003,0.0,13,3,8,-0.325
Med28,-0.089,-0.157,-0.033,0.0,13,3,8,0.174
Pecr,-0.089,-0.257,0.025,0.0,12,4,7,-0.535
Hnrnpf,-0.089,-0.138,-0.05,0.0,13,2,8,-1.477
Rhov,-0.089,-0.231,0.063,0.0,12,5,7,1.878
Id2,-0.089,-0.171,0.013,0.0,13,4,8,-0.397
Faap24,-0.089,-0.177,0.072,0.0,10,4,5,-0.073
A430005L14Rik,-0.089,-0.129,-0.055,0.0,13,3,8,-0.809
Snrnp27,-0.089,-0.139,-0.003,0.0,13,2,8,0.057
Zfp446,-0.089,-0.297,0.181,0.0,10,4,6,-0.404
Mb21d2,-0.089,-0.427,0.205,0.0,11,4,6,0.283
Pinx1,-0.089,-0.214,0.112,0.0,13,6,8,-0.419
Slc25a5,-0.089,-0.126,-0.026,0.0,13,3,8,-0.116
Gtf2b,-0.089,-0.172,-0.062,0.0,13,2,8,-0.139
Gspt2,-0.09,-0.218,0.029,0.0,13,6,8,0.897
Asxl3,-0.09,-0.211,0.056,0.0,11,4,6,0.445
Plekho1,-0.09,-0.148,0.041,0.0,13,6,8,-0.537
Ap4m1,-0.09,-0.301,-0.006,0.0,12,2,7,-0.404
Gtf2f2,-0.09,-0.24,0.018,0.0,12,4,7,-0.253
Mrpl13,-0.09,-0.149,-0.051,0.0,13,3,8,-0.066
Maf1,-0.09,-0.181,-0.04,0.0,13,2,8,-0.378
Sirt5,-0.09,-0.218,0.012,0.0,13,4,8,0.116
Lyar,-0.09,-0.451,-0.013,0.0,13,3,8,-0.43
Zbtb45,-0.09,-0.195,0.086,0.0,12,4,7,0.389
Ccdc34,-0.09,-0.11,0.061,0.0,13,5,8,-1.135
Polr3gl,-0.09,-0.138,0.031,0.0,13,4,8,-0.494
Rps5,-0.09,-0.12,-0.034,0.0,13,1,8,-0.158
Eif3h,-0.09,-0.151,-0.021,0.0,13,1,8,0.088
Tmem107,-0.09,-0.323,0.059,0.0,13,4,8,-0.516
Rad9b,-0.09,-0.832,0.025,0.0,10,4,5,-0.256
Nelfe,-0.09,-0.282,0.048,0.0,12,5,7,-0.365
Pa2g4,-0.09,-0.133,0.005,0.0,13,4,8,-0.136
Gtf2h2,-0.09,-0.143,0.108,0.0,13,4,8,-0.282
Ptpn1,-0.09,-0.17,-0.013,0.0,13,3,8,0.372
Mrpl39,-0.09,-0.158,0.023,0.0,13,5,8,0.352
Ilkap,-0.09,-0.177,-0.061,0.0,13,2,8,-0.227
A930015D03Rik,-0.09,-0.428,0.007,0.0,10,4,6,0.057
Zfp467,-0.09,-0.163,-0.079,0.0,13,3,8,0.12
Eif3e,-0.091,-0.128,-0.054,0.0,13,2,8,-0.137
Gstm1,-0.091,-0.288,-0.037,0.0,13,2,8,0.091
Cutc,-0.091,-0.603,0.162,0.0,10,4,6,-0.594
Ppfibp1,-0.091,-0.211,0.125,0.0,12,5,7,-2.002
Sgf29,-0.091,-0.225,0.01,0.0,11,3,6,0.009
Mta2,-0.091,-0.222,0.072,0.0,13,6,8,-1.644
Utp3,-0.091,-0.131,-0.032,0.0,13,1,8,-0.048
Ppie,-0.091,-0.16,-0.018,0.0,13,3,8,-0.699
1300002E11Rik,-0.091,-0.224,0.04,0.0,13,5,8,-0.659
Blvrb,-0.091,-0.123,-0.002,0.0,13,3,8,-1.282
Bnip3l,-0.091,-0.13,-0.051,0.0,13,2,8,-0.345
Hexim1,-0.091,-0.262,0.082,0.0,13,5,8,-0.937
Zfp771,-0.091,-0.131,-0.053,0.0,13,1,8,0.356
Timm10,-0.091,-0.151,-0.023,0.0,13,3,8,0.8
Cdk19,-0.091,-0.21,0.032,0.0,13,5,8,-2.246
Psmb8,-0.091,-0.284,0.035,0.0001,12,5,7,-2.398
Dnajc24,-0.091,-0.146,-0.05,0.0,13,3,8,-1.589
Polr3d,-0.091,-0.11,0.046,0.0,13,4,8,-0.083
Thap11,-0.091,-0.204,0.155,0.0,13,4,8,-0.609
Mvb12a,-0.092,-0.114,0.087,0.0,12,5,7,-0.303
Hint3,-0.092,-0.154,0.103,0.0,13,5,8,-0.025
Gstt2,-0.092,-0.236,0.068,0.0,11,4,6,-0.507
Gusb,-0.092,-0.228,-0.006,0.0,13,3,8,-0.68
Tsen15,-0.092,-0.146,-0.055,0.0,13,2,8,-0.009
Dnajb9,-0.092,-0.355,-0.058,0.0,13,2,8,-0.624
Zfp707,-0.092,-0.172,0.078,0.0,12,5,7,0.21
Mrps33,-0.092,-0.162,-0.036,0.0,13,1,8,0.36
Cpne8,-0.092,-0.619,0.091,0.0,12,4,7,-0.137
Rbm15,-0.092,-0.197,0.039,0.0,12,3,7,-0.679
Clybl,-0.092,-0.201,-0.021,0.0,13,2,8,0.525
Gsap,-0.092,-0.416,0.044,0.0,10,4,6,-2.076
Jund,-0.092,-0.106,-0.036,0.0,13,3,8,-0.486
Tmed3,-0.093,-0.175,-0.016,0.0,13,2,8,-0.922
Prickle1,-0.093,-0.366,0.183,0.0,10,4,6,-1.595
Syf2,-0.093,-0.159,-0.071,0.0,13,3,8,-0.703
Idh2,-0.093,-0.2,0.008,0.0,13,4,8,-1.668
Nradd,-0.093,-0.22,-0.01,0.0,11,2,6,0.416
Fen1,-0.093,-0.379,0.124,0.0,12,5,7,-0.936
Coq7,-0.093,-0.116,-0.074,0.0,13,3,8,0.389
Thumpd1,-0.093,-0.134,-0.062,0.0,13,2,8,0.322
Mrps36,-0.093,-0.134,0.022,0.0,13,5,8,0.33
Trmt12,-0.093,-0.182,0.009,0.0,12,3,7,0.505
Sclt1,-0.093,-0.152,0.117,0.0,13,5,8,-0.729
Uckl1,-0.093,-0.147,0.019,0.0,13,4,8,0.239
9430038I01Rik,-0.093,-0.596,0.067,0.0,12,3,7,-0.619
Asf1a,-0.094,-0.181,-0.022,0.0,13,3,8,-0.768
Tgfb1,-0.094,-0.315,-0.021,0.0,11,2,6,-0.166
Alyref,-0.094,-0.179,0.056,0.0,12,4,7,-0.394
Triap1,-0.094,-0.198,0.025,0.0,13,4,8,0.358
Nxt1,-0.094,-0.32,-0.031,0.0,12,2,7,-0.86
Rnd3,-0.094,-0.339,0.006,0.0,13,4,8,-1.56
Pacsin3,-0.094,-0.571,0.061,0.0,11,4,7,-2.695
Nxph3,-0.094,-0.328,0.243,0.0033,11,4,6,1.13
Rps24,-0.094,-0.134,-0.021,0.0,13,2,8,-0.148
Pelp1,-0.094,-0.197,0.115,0.0,13,5,8,0.174
Mrps22,-0.094,-0.14,0.046,0.0,13,6,8,0.245
Arhgap42,-0.094,-0.345,0.037,0.0,12,3,7,-1.649
1500009L16Rik,-0.094,-0.328,0.104,0.0,13,5,8,0.933
Fgf13,-0.094,-0.173,-0.014,0.0,11,1,6,1.104
Haus3,-0.094,-0.628,0.202,0.0,11,5,7,-1.473
Serbp1,-0.094,-0.184,-0.074,0.0,13,0,8,-0.289
Tm4sf4,-0.094,-0.135,0.628,0.0323,11,4,6,1.768
Gpr137c,-0.095,-0.274,0.175,0.0,11,4,7,0.818
Rps14,-0.095,-0.195,-0.043,0.0,13,0,8,-0.633
Eif1ad,-0.095,-0.2,-0.036,0.0,13,2,8,0.176
Echs1,-0.095,-0.137,-0.006,0.0,13,1,8,-0.077
Pim3,-0.095,-0.163,0.005,0.0,13,4,8,-0.072
Nubpl,-0.095,-0.237,0.018,0.0,12,3,7,-0.278
Nudcd2,-0.095,-0.157,0.003,0.0,13,4,8,-0.77
Bola1,-0.095,-0.119,-0.067,0.0,13,2,8,0.127
Trip10,-0.095,-0.384,0.124,0.0,11,4,7,-2.143
Dll3,-0.095,-0.196,0.015,0.0002,11,3,6,2.107
Trnau1ap,-0.095,-0.138,-0.023,0.0,13,2,8,-0.268
Chmp1b,-0.095,-0.234,0.383,0.0014,11,4,7,-0.976
Cisd2,-0.095,-0.138,0.029,0.0,13,4,8,-0.155
Fbl,-0.095,-0.201,-0.035,0.0,12,2,7,-0.156
Tmem176a,-0.095,-0.196,-0.034,0.0,13,2,8,-0.593
Ube2s,-0.095,-0.187,-0.023,0.0,12,2,7,-0.042
Adh5,-0.096,-0.26,-0.029,0.0,13,2,8,-0.178
Gnl3,-0.096,-0.121,0.005,0.0,13,4,8,-0.224
Ssbp1,-0.096,-0.132,-0.024,0.0,13,3,8,-0.477
Ccdc166,-0.096,-0.383,-0.04,0.0,10,2,5,0.314
Rsl1d1,-0.096,-0.13,-0.019,0.0,13,1,8,-0.078
Nebl,-0.096,-0.33,0.148,0.0,11,5,7,-1.472
Crip1,-0.096,-0.144,0.155,0.0,13,6,8,-0.183
Fiz1,-0.096,-0.302,0.04,0.0,12,5,7,-0.336
Rpl10,-0.096,-0.207,-0.056,0.0,13,0,8,-0.2
Zfp637,-0.096,-0.156,-0.006,0.0,13,3,8,0.115
Rplp0,-0.096,-0.197,-0.035,0.0,13,1,8,-0.562
Ormdl2,-0.096,-0.274,-0.041,0.0,12,2,7,-1.464
Tmem258,-0.096,-0.22,-0.051,0.0,12,2,7,-0.16
Rrp8,-0.096,-0.144,-0.004,0.0,13,3,8,-0.006
Ntan1,-0.096,-0.205,-0.008,0.0,13,3,8,0.157
Zbtb21,-0.096,-0.31,0.057,0.0,12,4,7,-0.241
Cbfa2t3,-0.096,-0.648,0.142,0.0001,10,4,5,-1.118
Kin,-0.096,-0.178,-0.024,0.0,13,2,8,-0.28
Blvra,-0.096,-0.179,0.03,0.0,13,4,8,-0.008
Exosc1,-0.097,-0.155,-0.049,0.0,13,1,8,-0.369
Sf3a3,-0.097,-0.224,0.046,0.0,13,5,8,-0.202
Adam9,-0.097,-0.27,0.151,0.0009,13,6,8,-0.619
Cmc4,-0.097,-0.113,0.203,0.0,11,4,6,-0.272
Taco1os,-0.097,-0.218,0.014,0.0,10,4,5,0.195
Sntb2,-0.097,-0.186,0.084,0.0,12,5,8,-2.294
Nip7,-0.097,-0.123,-0.019,0.0,13,1,8,-0.137
Dok4,-0.097,-0.246,0.119,0.0,12,5,7,0.377
Pkig,-0.097,-0.182,0.012,0.0,13,5,8,-0.258
Thbs3,-0.097,-0.243,0.066,0.0001,11,4,6,-1.765
Cys1,-0.097,-0.381,0.039,0.0014,10,4,7,-2.022
Tjp1,-0.097,-0.257,0.061,0.0,12,5,7,-2.1
B9d1,-0.097,-0.257,0.171,0.0,13,5,8,-0.92
Mlf1,-0.097,-0.54,0.013,0.0,11,3,7,-0.127
Chodl,-0.097,-0.247,0.452,0.0259,11,4,7,1.733
Rpf2,-0.097,-0.224,-0.01,0.0,13,3,8,0.617
Ska2,-0.097,-0.789,0.032,0.0,11,5,6,-0.434
R3hcc1,-0.097,-0.178,0.084,0.0,13,5,8,0.302
Sik1,-0.097,-0.18,0.307,0.001,10,3,6,-1.331
Fbln5,-0.098,-0.38,0.167,0.0049,11,4,8,-4.645
Farp2,-0.098,-0.246,0.187,0.0028,11,4,7,-1.438
Ccdc86,-0.098,-0.268,0.021,0.0,13,5,8,-0.314
Adgra1,-0.098,-0.468,0.083,0.0,11,5,6,1.78
Thoc1,-0.098,-0.246,-0.023,0.0,13,3,8,-0.302
Gtf2ird2,-0.098,-0.194,0.124,0.0,13,6,8,0.3
Atg3,-0.098,-0.158,-0.036,0.0,13,1,8,-0.061
Rbmx2,-0.098,-0.234,-0.006,0.0,13,3,8,0.011
Zswim7,-0.098,-0.26,0.067,0.0,13,4,8,0.043
Edil3,-0.098,-0.31,0.284,0.0019,11,3,8,-0.829
Tpm4,-0.098,-0.262,0.011,0.0,13,4,8,-1.876
Gtdc1,-0.098,-0.265,0.099,0.0,12,4,7,-1.254
Ccdc191,-0.098,-0.246,0.12,0.0008,10,4,5,-1.055
Slbp,-0.099,-0.376,-0.023,0.0,13,3,8,-0.489
Akr7a5,-0.099,-0.172,-0.038,0.0,13,3,8,0.057
Rbmx,-0.099,-0.39,0.058,0.0,13,5,8,-1.447
Recql,-0.099,-0.203,0.026,0.0,12,4,7,-0.445
Ybey,-0.099,-0.374,0.063,0.0,10,3,5,0.03
Zfp697,-0.099,-0.271,0.035,0.0001,10,3,5,0.404
Rab26os,-0.099,-0.251,0.009,0.0,10,2,5,0.289
Tacc3,-0.099,-0.603,0.098,0.0,11,4,6,-1.169
Dcps,-0.099,-0.181,0.011,0.0,13,4,8,-0.279
Gpx1,-0.099,-0.21,-0.053,0.0,13,2,8,-0.065
Pign,-0.099,-0.503,0.239,0.0,11,4,7,-1.018
Bag5,-0.099,-0.139,-0.027,0.0,13,3,8,-0.4
Mif,-0.099,-0.164,-0.04,0.0,13,1,8,0.307
Glod4,-0.099,-0.216,0.003,0.0,13,4,8,-0.648
Rpl36,-0.099,-0.167,-0.047,0.0,13,2,8,-0.157
Rasip1,-0.099,-0.465,0.136,0.0,10,3,6,-1.483
Mthfs,-0.099,-0.139,0.027,0.0,13,4,8,-0.88
Ifnar2,-0.099,-0.265,-0.053,0.0,13,3,8,-2.076
Haus1,-0.1,-0.149,-0.033,0.0,12,1,7,-0.157
Dnajc2,-0.1,-0.237,-0.03,0.0,13,3,8,0.425
Bphl,-0.1,-0.222,0.032,0.0,13,5,8,-0.942
Psmd10,-0.1,-0.166,-0.076,0.0,13,3,8,0.122
Rpl18,-0.1,-0.143,-0.024,0.0,13,1,8,-0.267
Creb3l1,-0.1,-0.245,0.162,0.0004,10,3,6,-1.812
Tmem39a,-0.1,-0.749,0.143,0.0,13,6,8,-1.849
Thoc6,-0.1,-0.213,0.033,0.0,13,5,8,-0.205
Gipc2,-0.1,-0.521,0.159,0.0,10,4,6,1.44
Slc7a6os,-0.1,-0.162,-0.017,0.0,13,3,8,-0.715
Dnajc30,-0.1,-0.136,0.03,0.0,13,4,8,0.3
Bud13,-0.1,-0.28,0.094,0.0,10,3,5,-0.668
Pde8b,-0.1,-0.407,0.398,0.0229,10,4,6,0.282
Rgcc,-0.101,-0.307,0.545,0.016,12,5,7,-3.478
Dock6,-0.101,-0.15,0.123,0.0,11,4,6,-1.202
Rps27rt,-0.101,-0.259,-0.051,0.0,11,2,6,-0.768
Cfap36,-0.101,-0.14,0.002,0.0,11,3,6,0.347
Naf1,-0.101,-0.209,-0.012,0.0,12,3,7,-1.032
P2rx4,-0.101,-0.373,0.084,0.0,13,5,8,-1.838
Pard6a,-0.101,-0.132,0.015,0.0,13,4,8,0.733
Patl1,-0.101,-0.216,0.135,0.0,13,6,8,-0.663
Tmbim1,-0.101,-0.251,0.072,0.0,13,4,8,-1.827
Ndufb6,-0.101,-0.171,0.015,0.0,13,4,8,0.551
Dxo,-0.101,-0.323,-0.013,0.0,11,2,6,-0.174
Foxn2,-0.101,-0.239,0.139,0.0,11,5,6,-1.376
Isoc1,-0.101,-0.268,-0.009,0.0,13,3,8,1.625
Serf2,-0.101,-0.145,-0.021,0.0,13,2,8,-1.111
Cbx1,-0.101,-0.167,-0.016,0.0,13,2,8,-0.907
Ccdc117,-0.101,-0.551,0.066,0.0,13,5,8,-0.541
Snw1,-0.102,-0.206,-0.034,0.0,13,2,8,-0.393
Dnajc17,-0.102,-0.212,0.089,0.0,13,5,8,-0.137
Mief2,-0.102,-0.191,0.281,0.0023,10,4,5,0.204
Abca8a,-0.102,-0.624,0.465,0.0252,11,3,7,-4.632
Efnb1,-0.102,-0.259,0.172,0.0,11,5,6,-3.155
Hivep2,-0.102,-0.169,0.055,0.0,13,4,8,-0.868
Nde1,-0.102,-0.292,0.307,0.0,10,4,6,-3.326
Rnaseh2c,-0.102,-0.132,-0.034,0.0,13,2,8,-1.235
Fam110a,-0.102,-0.354,0.181,0.0005,10,5,5,-0.822
Kiz,-0.102,-0.238,0.072,0.0,11,4,6,-0.895
Rps3a1,-0.102,-0.263,-0.034,0.0,12,1,7,-0.295
1110059G10Rik,-0.102,-0.157,-0.08,0.0,13,2,8,-0.278
Mipep,-0.102,-0.305,0.108,0.0,13,6,8,0.089
Bccip,-0.102,-0.18,-0.019,0.0,13,3,8,-0.428
Mrpl21,-0.102,-0.261,-0.041,0.0,13,3,8,0.196
Fibp,-0.102,-0.151,-0.057,0.0,13,2,8,-0.686
Sap30,-0.103,-0.181,0.015,0.0,13,4,8,0.095
Gm15417,-0.103,-0.509,0.044,0.0,12,5,7,0.29
Rom1,-0.103,-0.382,-0.035,0.0,13,3,8,0.715
Cenpq,-0.103,-0.287,0.054,0.0,12,4,7,-1.535
Nifk,-0.103,-0.175,-0.02,0.0,11,1,6,0.221
Rap2b,-0.103,-0.187,-0.0,0.0,12,3,7,-2.216
Timm17b,-0.103,-0.15,-0.011,0.0,13,1,8,-0.146
Col4a2,-0.103,-0.716,0.261,0.0,11,5,6,-3.779
Tmpo,-0.103,-0.307,0.054,0.0,13,4,8,-1.816
Defb42,-0.103,-0.315,-0.005,0.0,12,2,7,2.382
Mphosph10,-0.103,-0.24,0.042,0.0,13,4,8,-0.132
Pafah1b3,-0.103,-0.172,-0.019,0.0,13,3,8,1.399
Mpp6,-0.103,-0.187,0.072,0.0,13,4,8,0.025
Xist,-0.104,-0.245,0.012,0.0,11,3,6,-1.007
Psme2,-0.104,-0.204,-0.023,0.0,13,3,8,-0.248
Rnf128,-0.104,-0.25,0.085,0.0001,11,4,6,0.255
Alkbh6,-0.104,-0.171,-0.022,0.0,13,2,8,0.32
Sox11,-0.104,-0.214,-0.008,0.0,13,3,8,1.475
Dut,-0.104,-0.293,-0.034,0.0,13,2,8,0.31
Ddx49,-0.104,-0.155,-0.02,0.0,13,3,8,-0.048
Serping1,-0.104,-0.315,0.028,0.0,13,4,8,-3.845
Sept10,-0.104,-0.245,0.004,0.0,10,3,5,-2.216
As3mt,-0.104,-0.169,-0.036,0.0,13,2,8,0.522
Zfp536,-0.104,-0.559,0.083,0.0003,10,4,7,-1.713
Dtymk,-0.105,-0.269,-0.037,0.0,13,2,8,-0.404
Alkbh4,-0.105,-0.391,0.032,0.0,11,4,6,-0.112
Rmdn1,-0.105,-0.142,0.086,0.0,12,4,7,0.074
Pex26,-0.105,-0.26,0.117,0.0,10,3,6,0.344
Xpa,-0.105,-0.147,-0.062,0.0,13,3,8,-0.145
Med10,-0.105,-0.164,-0.017,0.0,13,2,8,0.032
Coa7,-0.105,-0.223,0.005,0.0,11,3,6,0.308
Sumo1,-0.105,-0.125,0.006,0.0,13,4,8,0.118
Anapc16,-0.105,-0.153,-0.029,0.0,13,3,8,-0.373
Ppm1h,-0.105,-0.166,0.125,0.0,13,5,8,0.979
Arpc3,-0.105,-0.166,-0.021,0.0,13,2,8,0.022
Vps72,-0.105,-0.146,-0.026,0.0,13,2,8,0.006
Nrip1,-0.105,-0.13,0.028,0.0,13,4,8,-0.789
Nfkbib,-0.106,-0.159,-0.046,0.0,13,1,8,0.002
Mplkip,-0.106,-0.175,0.007,0.0,12,3,7,-0.625
Lxn,-0.106,-0.17,0.147,0.0,13,6,8,0.438
Polr2a,-0.106,-0.121,0.094,0.0,13,5,8,-0.324
Dguok,-0.106,-0.167,-0.018,0.0,13,3,8,-0.277
Iah1,-0.106,-0.26,-0.023,0.0,13,2,8,-1.206
Klhdc8b,-0.106,-0.233,0.075,0.0,13,6,8,0.588
Exosc3,-0.106,-0.206,0.03,0.0,12,3,7,-1.339
Airn,-0.106,-0.254,0.182,0.0,11,5,7,-0.757
Itpr1,-0.106,-0.449,0.092,0.0002,12,5,8,-1.257
Bcl10,-0.107,-0.241,-0.059,0.0,13,1,8,-0.961
Rps6,-0.107,-0.146,-0.042,0.0,13,0,8,-0.143
2610035D17Rik,-0.107,-0.304,0.067,0.0061,11,3,7,-1.328
Nudt1,-0.107,-0.334,0.001,0.0,12,3,7,0.099
Pnrc1,-0.107,-0.28,-0.065,0.0,13,1,8,-1.896
Wdr89,-0.107,-0.237,0.102,0.0,12,4,7,-0.234
Siva1,-0.108,-0.156,-0.079,0.0,13,2,8,-1.838
Dnajc1,-0.108,-0.304,0.087,0.0,13,4,8,-2.37
Pdk3,-0.108,-0.228,-0.013,0.0,12,3,7,-0.617
Spats2l,-0.108,-0.406,0.174,0.0,12,4,7,-0.993
U2af1,-0.108,-0.156,-0.042,0.0,13,3,8,-0.081
Eml3,-0.108,-0.393,0.124,0.0,13,5,8,-1.003
Klhdc4,-0.108,-0.222,-0.023,0.0,13,3,8,-0.092
Dnttip2,-0.108,-0.195,-0.044,0.0,13,2,8,-0.817
Zfp30,-0.108,-0.158,-0.056,0.0,13,1,8,0.044
Cenpv,-0.108,-0.182,0.035,0.0,13,4,8,0.799
Ccdc159,-0.109,-0.557,0.087,0.0,11,4,7,0.833
Rpl7a,-0.109,-0.229,-0.034,0.0,13,1,8,-0.151
Ccnk,-0.109,-0.634,0.069,0.0,13,4,8,-0.362
Yars2,-0.109,-0.27,0.008,0.0,12,4,7,0.438
2210016F16Rik,-0.109,-0.303,-0.048,0.0,13,1,8,-0.386
Isoc2b,-0.109,-0.418,0.066,0.0007,10,4,6,-0.362
Sec61b,-0.109,-0.207,-0.04,0.0,13,1,8,-0.288
Ier5l,-0.109,-0.286,0.12,0.0,11,5,7,-1.61
Vps51,-0.109,-0.153,0.138,0.0,11,5,6,0.271
Ppp2r3c,-0.109,-0.135,-0.056,0.0,13,3,8,0.424
Atg101,-0.109,-0.181,0.042,0.0,11,4,6,-0.237
Sh3bp5,-0.11,-0.282,-0.014,0.0,13,3,8,0.195
Cstb,-0.11,-0.185,-0.008,0.0,13,3,8,-0.762
Brix1,-0.11,-0.307,-0.055,0.0,13,2,8,-0.412
Pdcd2,-0.11,-0.184,-0.053,0.0,13,2,8,0.471
Mrpl46,-0.11,-0.158,0.051,0.0,13,4,8,0.423
Timm21,-0.11,-0.181,-0.037,0.0003,11,2,6,-1.21
Snrpd3,-0.11,-0.129,-0.011,0.0,13,3,8,0.051
1190007I07Rik,-0.11,-0.175,-0.014,0.0,12,2,7,-0.172
Klf3,-0.11,-0.168,0.035,0.0,13,4,8,-1.995
Scand1,-0.11,-0.211,-0.028,0.0,13,2,8,-0.14
Iqcc,-0.11,-0.257,0.125,0.0,13,6,8,-0.489
Klf11,-0.11,-0.196,0.154,0.0,13,5,8,-0.525
Tomm5,-0.111,-0.141,-0.007,0.0,13,3,8,0.214
Fam53a,-0.111,-0.362,-0.018,0.0,13,3,8,-0.84
Ift27,-0.111,-0.174,0.038,0.0,13,4,8,-0.342
Zgpat,-0.111,-0.406,-0.04,0.0,13,3,8,-0.09
Rps17,-0.111,-0.159,-0.026,0.0,13,2,8,-0.085
Dusp19,-0.111,-0.17,-0.001,0.0,13,3,8,0.082
Hspb11,-0.111,-0.285,-0.024,0.0,13,3,8,-0.236
Bloc1s5,-0.111,-0.155,-0.008,0.0,12,2,7,0.346
Mrpl40,-0.111,-0.172,-0.074,0.0,13,3,8,0.304
S100a1,-0.111,-0.283,0.039,0.0,13,4,8,-1.888
Gpank1,-0.111,-0.198,-0.085,0.0,13,2,8,0.469
Ercc1,-0.111,-0.254,-0.087,0.0,13,0,8,0.237
Wdr53,-0.111,-0.241,0.001,0.0,13,4,8,0.144
Rmnd1,-0.111,-0.183,0.022,0.0,12,3,7,-0.022
Apex1,-0.111,-0.179,-0.059,0.0,12,1,7,0.138
Sin3a,-0.111,-0.207,0.065,0.0,13,6,8,-0.67
Haus6,-0.112,-0.319,0.153,0.0,11,3,7,-0.144
Lsm5,-0.112,-0.147,0.018,0.0,13,4,8,-0.186
Ankrd34a,-0.112,-0.299,0.063,0.0,10,3,6,1.804
Itgb1bp1,-0.112,-0.225,-0.085,0.0,13,2,8,-0.288
Hmces,-0.112,-0.239,0.005,0.0,11,3,6,-0.28
Il11ra1,-0.112,-0.171,0.002,0.0,13,4,8,-1.102
Ly6e,-0.112,-0.553,0.113,0.0002,11,3,6,-1.244
Hmgb1,-0.112,-0.142,-0.07,0.0,13,1,8,-0.901
Gm8797,-0.112,-0.204,0.008,0.0,11,4,6,0.146
Arl6ip4,-0.112,-0.157,-0.001,0.0,13,3,8,0.375
Nupl2,-0.112,-0.212,0.053,0.0,11,4,6,0.218
Tmem243,-0.112,-0.188,0.021,0.0,12,5,7,-1.144
9130401M01Rik,-0.113,-0.184,0.056,0.0,13,4,8,0.311
Nsun6,-0.113,-0.401,0.031,0.0,13,4,8,-0.416
Lst1,-0.113,-0.537,0.059,0.0061,10,3,5,-0.209
