,GSE102443 geniculate (VII),GSE135801 geniculate (VII),GSE309608 vestibular (VIII),GSE232789 stellate,GSE232789 coeliac,GSE232789 lumbar chain,GSE231766 superior cervical,GSE231924 stellate,GSE232789 sphenopalatine,GSE330884 intrinsic cardiac,GSE232789 pelvic,"GSE263422 enteric submucosal, P24","GSE263422 enteric submucosal, P7"
Lamtor5,,-0.06,-0.11,0.002,0.292,-0.088,0.077,-0.022,-0.015,-0.109,-0.016,-0.324,0.009
Lca5,,-0.666,0.134,0.129,-0.697,-0.406,,0.235,-0.525,0.163,-0.019,0.033,
Lcor,,0.053,0.088,0.014,-0.929,0.288,0.317,0.293,-0.084,0.229,0.207,-0.019,-0.49
Lcorl,,-1.797,0.064,-0.071,-0.535,0.321,-0.278,0.784,-0.235,-0.062,0.246,-0.184,-0.029
Ldlrad4,,1.056,0.004,0.275,1.362,0.159,0.255,0.043,0.101,0.19,0.878,0.519,0.583
Lgalsl,,0.295,-0.094,0.056,0.154,-0.02,0.501,-0.457,0.102,-0.18,0.087,-0.008,0.113
Lima1,,0.023,0.036,0.204,-0.226,0.309,0.047,-1.073,-0.092,0.058,0.054,-0.034,-0.167
Limch1,,-2.17,0.076,-0.086,-0.349,0.28,-0.353,0.256,0.047,-0.127,0.002,0.405,0.063
Limd1,,0.091,0.179,-0.284,-0.73,-0.328,-0.862,0.484,-0.039,0.11,-0.1,0.242,-0.149
Lipe,,2.036,0.025,-0.11,0.185,-0.208,-0.768,-0.169,-0.134,0.128,0.081,0.335,-0.738
Lix1l,,-2.593,-0.12,-0.054,-0.369,0.129,0.083,,0.07,0.036,-0.022,-0.06,-0.257
Lmnb1,,-0.169,-0.194,0.019,-1.269,-0.392,-0.169,,-0.08,-0.096,-0.333,,-0.076
Lmnb2,,1.018,0.084,-0.211,-0.64,-0.27,0.544,0.315,0.091,0.081,0.008,0.378,0.341
Lrba,,-0.222,0.155,-0.069,-0.411,0.393,0.677,-0.197,0.023,0.073,0.064,0.09,0.46
Lrfn3,,0.298,0.352,0.235,0.753,0.087,0.821,,0.031,0.138,0.229,0.229,-0.707
Lrfn4,,0.115,0.2,0.033,-0.014,-0.284,0.055,0.165,0.134,0.101,-0.154,-0.099,-0.195
Lrif1,,-0.209,0.052,0.216,-0.356,-0.079,-0.423,-0.287,0.032,-0.033,-0.04,-0.069,0.004
Lrp1,,2.049,0.227,-0.177,-0.671,0.027,-0.218,-0.076,0.012,0.127,0.206,0.217,0.269
Lrrc3,,-0.296,,0.14,0.008,0.118,0.158,0.211,0.144,0.296,0.085,-0.409,-0.37
Lrrc4b,,0.194,0.318,0.133,-0.116,0.243,0.022,0.585,0.103,0.23,0.163,0.287,0.179
Lrrc73,,0.037,-0.131,0.011,0.759,-0.144,-0.078,-0.323,-0.091,-0.111,-0.062,-0.066,0.225
Lsm11,,-0.535,-0.056,-0.05,1.163,-0.126,0.048,-0.53,0.037,0.064,0.085,0.258,0.158
Lsm14b,,0.853,0.012,0.102,-0.407,0.062,-0.191,-0.166,0.135,0.141,0.098,0.136,-0.205
Lurap1l,,-0.579,-0.096,-0.059,0.135,-0.562,0.046,,-0.17,-0.12,-0.001,,-0.057
Lyrm9,,-0.257,0.038,0.013,-0.335,0.065,0.105,-0.021,0.057,0.001,0.071,-0.091,-0.023
Lzts2,,1.039,-0.159,-0.173,-0.091,-0.086,-0.128,0.395,-0.0,0.127,0.173,0.013,-0.03
Maff,,0.307,-0.406,-0.191,0.595,-0.02,-0.516,,-0.089,-0.154,-0.226,-0.169,-0.467
Malsu1,,0.303,-0.084,-0.053,-0.034,0.007,-0.059,0.144,0.024,-0.141,-0.055,-0.171,0.064
Maml1,,0.843,-0.04,0.134,-0.451,-0.718,-1.094,,-0.154,0.131,-0.043,-0.054,
Maml3,,1.932,0.099,-0.053,-0.361,0.0,-0.392,0.213,0.031,-0.019,0.102,0.158,-0.252
Man2a1,,-0.544,0.151,0.187,0.893,0.41,0.652,0.139,0.129,0.274,0.221,0.034,-0.663
Map1a,,0.12,0.089,0.091,0.67,0.218,0.477,-0.067,0.106,0.168,0.161,0.134,0.152
Map1b,,0.09,0.092,0.044,0.371,0.141,0.539,-0.127,0.049,0.189,-0.02,-0.005,-0.17
Map1s,,0.095,-0.062,0.132,0.122,-0.377,0.017,-0.08,0.037,0.078,0.096,0.265,-0.078
Map2,,0.204,0.182,0.058,-0.119,0.155,0.42,0.059,0.054,0.219,0.09,0.098,0.139
Map3k10,,-1.371,0.199,0.114,0.206,0.047,0.501,-0.19,0.082,0.096,0.205,-0.108,0.005
Map3k11,,0.229,-0.07,-0.204,0.318,0.586,-0.392,,-0.034,0.196,-0.014,0.178,-0.238
Map3k13,,-1.007,0.144,0.289,-0.475,-0.133,1.301,-0.056,0.256,0.197,0.022,,
Map3k6,,0.239,-0.121,0.321,1.02,0.108,-0.069,,-0.008,-0.01,0.195,-0.089,-0.325
Map4,,0.264,-0.019,-0.007,0.241,-0.035,0.438,-0.058,0.068,-0.039,0.112,0.096,0.102
Map6,,0.438,0.095,0.067,0.482,0.285,0.338,0.128,0.075,0.19,0.047,0.144,0.087
Map7,,0.522,0.005,-0.29,-0.307,-0.168,0.579,0.138,0.156,0.132,0.188,-0.221,-0.483
Map7d1,,0.204,-0.082,-0.016,0.378,0.122,-0.04,-0.022,0.032,0.07,-0.06,-0.061,-0.002
Map7d2,,0.397,-0.029,0.041,0.447,0.009,0.664,0.061,0.113,-0.088,0.102,-0.115,0.025
Map9,,-0.381,-0.039,-0.121,0.079,0.078,0.386,0.363,-0.027,0.05,0.105,0.168,0.131
Mapkbp1,,0.805,0.21,0.168,-0.442,-0.201,-0.516,0.242,0.018,0.157,-0.243,0.416,
Marf1,,0.221,0.086,0.05,-0.089,-0.063,0.069,-0.084,-0.063,0.168,0.046,0.152,-0.296
Marveld1,,-0.749,0.201,-0.02,1.015,0.435,-0.52,,0.167,0.019,0.082,0.077,-0.964
Mb21d2,,-1.019,-0.089,-0.106,-0.355,-0.465,0.205,,0.009,0.363,-0.008,0.341,-0.427
Mcm2,,1.669,0.15,-0.045,-1.93,-0.643,,,-0.135,0.181,-0.016,0.18,-0.544
Mcu,,-0.28,-0.009,0.101,0.266,-0.474,0.523,-0.093,-0.053,0.097,0.057,-0.132,-0.162
Mdc1,,-1.243,-0.097,-0.02,-1.043,-0.23,0.279,0.201,0.16,0.008,0.105,0.183,
Mdm1,,-2.004,0.1,-0.265,-0.513,-0.384,,,0.179,-0.109,0.254,-0.247,-0.696
Med12,,0.139,0.242,0.119,-0.049,-0.431,,0.233,-0.055,0.129,-0.118,0.116,-0.238
Med13l,,-0.074,0.097,0.004,-0.311,-0.248,0.087,0.153,0.071,0.085,0.123,0.324,-0.358
Med26,,0.465,0.021,-0.441,-0.212,0.045,0.26,,0.36,0.191,0.267,0.201,
Medag,,0.311,,0.455,-0.783,0.477,-0.392,-0.487,0.165,0.017,0.028,-0.005,
Metrn,,1.165,-0.187,-0.172,-0.598,-1.401,-0.986,,-0.316,-0.383,0.396,0.164,0.201
Mettl23,,0.615,-0.073,-0.103,0.086,-0.089,0.202,0.37,-0.02,-0.054,0.04,-0.177,0.113
Mettl25,,0.136,0.06,0.217,0.321,-0.201,,,-0.001,0.15,-0.086,-0.078,0.056
Mex3b,,0.093,0.085,-0.066,-0.53,-0.006,-0.449,0.264,-0.144,-0.074,0.012,-0.032,-0.122
Mex3d,,-0.722,-0.073,0.115,-0.286,-0.068,-0.487,-0.348,0.1,0.031,0.075,-0.187,0.182
Mgme1,,-1.385,-0.174,-0.113,0.404,-0.595,0.872,,-0.13,-0.051,-0.212,0.249,-0.571
Micu1,,-0.882,0.015,0.033,-0.116,-0.098,0.085,-0.099,0.001,0.0,-0.089,0.042,-0.08
Midn,,-0.07,-0.025,0.0,-0.274,0.088,-0.016,0.025,0.019,0.211,0.111,0.094,-0.06
Mien1,,-0.313,-0.217,-0.009,0.258,0.119,-0.115,-0.043,-0.009,-0.122,0.034,-0.246,-0.006
Mis18a,,-1.244,-0.258,-0.162,-1.082,-0.448,,,0.024,0.053,-0.172,-0.27,-0.051
Mknk2,,-1.404,0.173,0.002,-0.773,0.11,-0.259,-0.072,-0.021,0.056,-0.051,0.128,0.294
Mllt1,,-0.077,0.038,0.123,0.095,-0.023,0.108,-0.949,-0.162,0.143,-0.139,0.148,0.212
Mllt6,,-0.859,0.214,0.233,-0.237,0.109,0.254,-0.238,0.004,0.204,0.112,0.273,0.392
Mnt,,1.018,-0.009,-0.136,0.279,-0.033,0.1,-0.024,-0.088,0.105,-0.022,0.114,0.018
Mpc1,,-0.278,-0.075,0.056,0.318,0.064,0.284,-0.291,-0.074,-0.122,-0.061,-0.516,0.012
Mpc2,,0.284,-0.073,-0.045,0.118,0.042,-0.045,0.071,-0.06,-0.095,-0.043,-0.398,0.003
Mplkip,,0.992,-0.108,-0.03,-0.575,-0.01,0.276,-0.48,-0.223,-0.124,-0.104,0.024,-0.127
Mpst,,1.922,-0.119,-0.074,-0.944,0.017,-0.135,-0.283,-0.036,-0.043,0.001,-0.384,0.026
Mpz,,-0.537,-0.197,-0.862,0.239,-0.932,-0.835,-0.997,-0.677,-0.312,0.396,,
Mroh1,,-0.079,0.297,0.276,0.476,-0.061,0.155,0.043,-0.005,0.257,-0.031,-0.016,0.274
Msantd2,,1.132,0.191,-0.001,-0.285,0.197,-0.444,-0.861,0.141,0.218,-0.095,0.18,0.042
Msantd3,,0.336,-0.102,-0.11,0.636,-0.074,-0.615,,0.007,0.0,-0.09,0.16,-0.136
Msantd4,,0.04,-0.031,0.13,0.105,0.001,0.345,-0.146,0.05,0.018,0.168,0.184,0.227
Msrb1,,-0.026,-0.121,0.021,0.27,0.203,-0.337,-0.062,0.074,-0.109,-0.047,-0.12,-0.057
Mtfr1l,,-0.362,-0.062,-0.053,0.255,0.067,0.257,-0.022,-0.018,-0.024,0.085,-0.26,-0.036
Mthfr,,1.397,0.196,0.034,-0.036,0.203,0.171,-0.049,0.016,0.031,0.143,0.172,
Mtmr10,,-0.216,0.021,0.056,-0.761,-0.03,-0.853,0.1,0.104,0.294,0.016,0.147,
Mvb12a,,0.679,-0.12,0.003,-0.467,-0.084,-0.103,0.17,0.003,-0.12,-0.108,-0.1,0.127
Mvb12b,,0.517,0.159,0.127,0.291,-0.053,0.164,0.398,0.098,0.143,0.046,0.307,0.002
Mxd1,,-0.368,0.077,-0.166,-0.835,0.537,-0.082,0.011,0.136,0.093,-0.242,0.273,
Mxra8,,-0.203,0.075,-0.141,-1.48,-0.439,-0.921,-0.599,-0.274,-0.441,-0.192,-0.166,-0.116
Myl6b,,-0.984,-0.131,-0.083,0.216,0.283,-0.699,0.284,0.026,-0.23,-0.064,,-0.195
Mylip,,1.543,0.033,-0.835,-0.375,-0.432,-0.565,,0.209,0.062,0.358,-0.469,
Myo1c,,-0.36,-0.095,0.053,0.31,0.25,-0.245,0.362,-0.019,0.155,0.152,0.125,0.028
Myo7a,,-2.643,0.147,0.309,0.801,0.107,-0.036,-1.951,-0.027,0.211,-0.139,-0.193,
Myo9b,,0.382,0.258,0.198,-0.561,0.341,-0.22,-0.587,0.025,0.2,0.419,0.161,
Myrip,,0.112,0.172,-0.011,1.177,-0.189,-0.073,-0.137,0.11,0.206,0.144,0.647,0.027
Naa60,,-0.089,-0.016,-0.031,0.331,0.4,-0.813,-0.629,0.03,0.045,-0.011,0.439,-0.204
Nabp1,,-0.805,0.188,-0.012,-0.128,-0.814,-0.081,,0.055,0.231,0.243,-0.011,
Nabp2,,0.096,-0.158,0.016,0.08,-0.027,-0.169,-0.177,-0.023,-0.075,0.001,-0.428,-0.089
Naf1,,-0.3,-0.106,-0.093,-0.539,0.174,-0.118,-0.552,0.047,0.063,-0.101,-0.071,-0.102
Nanos3,,-0.794,-0.147,-0.016,0.575,0.296,,,-0.075,-0.12,0.009,-0.189,0.093
Nav2,,-0.66,0.062,0.073,-0.314,-0.667,0.009,-0.148,0.073,,0.021,-0.2,-1.354
Nav3,,-2.341,0.064,0.14,-0.012,-0.029,0.029,-0.031,-0.031,0.136,-0.08,-0.231,0.138
Ncan,,0.899,0.103,0.003,-0.329,-0.031,-0.089,,0.104,0.311,0.323,0.304,-0.487
Ncapd2,,0.227,0.366,-0.022,-0.781,-0.565,,-0.21,0.082,0.281,0.042,0.069,0.375
Nck2,,-0.612,-0.019,-0.147,0.01,-0.41,-0.021,,0.025,0.349,0.4,-0.153,
Nckap5l,,-0.33,0.17,0.287,0.485,0.111,-0.083,,-0.036,0.138,0.039,0.177,
Ndst2,,0.039,0.016,0.154,-0.017,1.182,-0.287,,0.093,0.102,-0.19,0.222,
Ndufaf5,,0.237,0.03,0.106,0.802,0.077,0.118,-0.089,-0.239,0.003,-0.136,-0.142,0.15
Ndufaf6,,-1.097,-0.097,-0.08,0.196,-0.209,0.092,-0.03,-0.028,-0.121,-0.158,-0.206,0.369
Ndufaf7,,-0.465,-0.048,0.017,0.459,-0.119,0.137,0.678,0.06,0.021,0.036,-0.124,-0.127
Neat1,,-0.472,-0.21,-0.394,-0.593,-0.074,0.406,-0.167,0.136,0.278,-0.021,0.182,0.386
Nelfa,,1.495,0.018,-0.015,-0.516,0.22,0.732,0.1,-0.25,0.003,-0.125,0.229,0.255
Nelfb,,0.409,0.039,0.008,-0.111,-0.011,0.131,0.179,0.013,0.097,-0.031,0.053,0.184
Nelfcd,,-0.42,-0.017,-0.075,-0.197,-0.144,-0.115,-0.005,-0.098,0.103,-0.262,-0.002,0.156
Nelfe,,-0.405,-0.114,-0.162,-0.377,0.051,0.02,0.091,0.015,-0.066,0.048,-0.131,-0.282
Nfatc2ip,,2.387,0.062,-0.077,-0.488,0.223,,,-0.312,-0.144,0.208,0.116,0.088
Nfya,,-0.204,-0.06,0.209,-0.06,0.169,0.273,,-0.005,0.287,0.271,0.246,-0.681
Nhsl2,,0.494,0.151,-0.108,-0.47,0.193,-0.785,,-0.034,0.066,0.416,0.621,0.277
Nid1,,1.044,-0.269,-0.248,0.016,0.613,-0.481,,-0.143,-0.129,-0.024,,-0.189
Nin,,1.347,0.37,0.117,-0.698,-0.058,0.244,-0.45,-0.03,0.08,0.159,-0.028,-0.65
Nkd1,,-0.472,,-0.115,-0.333,0.172,-0.845,,0.033,-0.004,0.101,-0.504,-1.646
Nlrx1,,-0.202,-0.247,-0.12,0.033,0.426,0.091,0.108,0.235,0.169,0.632,-0.015,-0.353
Nmrk1,,0.173,0.009,0.102,2.162,-0.468,-1.218,-1.112,0.003,-0.041,-0.099,-0.033,-0.599
Nop9,,0.486,0.127,-0.014,-0.509,0.043,0.424,,0.165,-0.075,-0.027,-0.164,0.196
Nova1,,-0.12,0.178,0.097,-0.088,0.418,-1.002,,0.429,0.213,0.415,0.588,0.36
Nova2,,-0.576,0.161,0.088,-0.087,-0.134,0.528,-0.556,-0.014,0.137,0.01,0.195,0.264
Npas4,,-0.438,-0.114,-0.005,-2.117,-1.03,,0.44,-0.289,0.045,-0.222,-0.085,-0.266
Nr4a2,,-0.822,-0.81,-0.139,-2.685,-0.616,-0.363,0.677,-0.238,-0.138,-0.032,0.231,0.202
Nr6a1,,-1.248,0.229,0.138,1.01,0.264,-1.183,-0.25,0.064,0.347,0.366,0.219,
Nrde2,,-2.306,0.14,-0.025,-0.5,0.02,-0.11,-0.079,0.01,0.084,-0.05,-0.104,-0.616
Nrep,,-1.24,0.052,0.065,-0.204,0.078,0.221,-0.146,-0.111,0.008,0.053,0.028,-0.103
Nrp2,,-1.627,-0.324,0.015,-0.613,0.034,0.158,-0.308,-0.197,0.129,0.1,0.851,0.328
Nrxn2,,0.263,0.094,0.037,0.013,0.053,0.462,-0.17,0.06,0.157,0.114,0.269,0.151
Nsmf,,0.989,0.147,-0.037,0.041,-0.317,0.212,-0.046,0.016,0.098,0.055,0.287,-0.254
Ntmt1,,0.501,-0.077,-0.005,0.045,0.038,-0.003,0.292,-0.048,-0.076,-0.11,-0.135,0.135
Nuak1,,0.524,-0.013,0.075,0.48,0.246,0.215,0.005,0.094,0.197,0.015,0.249,-0.41
Nup188,,-1.301,0.149,0.346,0.097,0.244,-0.574,0.922,-0.124,0.022,0.002,0.095,-0.331
Nup210,,-0.527,0.32,-0.443,-0.209,-0.589,,-0.387,0.225,0.551,-0.563,0.33,
Nxpe3,,-0.21,0.365,-0.084,0.682,-0.119,0.036,0.322,0.039,0.206,-0.072,0.177,-0.039
Nyap1,,0.228,0.099,0.027,0.265,0.149,0.356,-0.015,-0.018,0.189,0.156,0.159,0.261
Nyap2,,-2.658,0.111,0.11,-0.006,-0.083,0.74,0.157,0.097,0.125,0.153,0.074,-0.209
Nynrin,,1.793,0.164,0.12,0.018,0.0,0.99,0.145,0.119,0.117,0.131,0.366,-1.487
Oard1,,0.207,-0.126,-0.028,-0.148,-0.258,-0.063,0.169,-0.057,-0.124,0.001,-0.128,0.146
Oaz2,,0.17,0.058,-0.045,-0.088,0.051,0.077,0.174,-0.043,0.027,-0.005,0.297,-0.038
Obsl1,,-0.295,-0.249,-0.058,0.074,0.563,-0.788,0.424,-0.056,0.021,0.171,0.316,-0.449
Ocel1,,0.17,-0.064,-0.056,0.781,0.049,-0.222,-0.327,0.005,-0.079,0.064,-0.22,-0.191
Ogfod3,,0.416,-0.103,-0.014,0.064,0.167,-0.104,0.405,-0.056,-0.016,-0.074,-0.237,0.174
Orai2,,-0.395,0.347,0.143,0.4,0.323,0.043,,-0.01,0.191,0.073,0.172,-0.182
Otud1,,1.442,0.021,,-0.617,-0.495,-0.357,,-0.26,0.116,-0.242,-0.117,-0.83
Oxld1,,0.84,-0.184,-0.101,0.21,0.071,0.074,,-0.05,-0.087,-0.05,-0.185,0.012
Pabpc4,,-0.872,0.049,-0.03,-0.081,0.194,-0.244,-2.787,0.038,0.196,0.035,-0.089,-0.087
Pald1,,0.718,-0.054,0.194,0.528,0.933,-0.484,,0.06,0.257,-0.238,0.077,-0.207
Paox,,-2.771,0.059,0.009,0.721,0.021,0.005,,-0.043,0.211,-0.174,-0.192,-0.213
Pard3,,-0.063,0.007,-0.087,-0.312,0.185,0.501,0.01,-0.011,0.118,0.086,-0.035,-0.869
Pard6g,,-2.393,-0.135,0.153,-0.558,-0.288,,,0.156,-0.147,0.107,0.044,-0.387
Paxbp1,,0.278,0.287,0.011,-0.83,-0.279,0.54,-0.3,-0.142,0.05,0.305,-0.071,-0.368
Pbdc1,,0.687,-0.01,-0.047,0.146,0.115,0.116,0.165,-0.197,-0.043,0.003,-0.141,-0.102
Pbxip1,,-1.671,-0.032,,0.537,,-0.139,0.0,-0.585,-0.147,0.121,-0.107,-0.04
Pcdhb14,,1.453,0.263,0.128,1.541,-0.015,0.131,0.17,0.097,0.259,-0.071,0.14,
Pced1a,,-0.218,0.08,-0.054,0.558,0.967,-0.092,,-0.371,-0.102,0.665,0.072,
Pced1b,,0.66,0.018,0.047,0.333,-0.343,-0.632,,-0.145,0.068,0.183,0.415,0.14
Pcnt,,0.583,0.063,-0.285,-0.791,-0.018,-0.039,-0.275,0.254,0.086,-0.073,0.019,-1.418
Pdcd11,,-1.108,0.113,0.098,-0.49,-0.107,-0.705,0.226,-0.125,0.055,0.108,-0.253,0.222
Pde10a,,0.481,0.046,-0.134,-0.342,-0.414,0.642,0.149,0.098,0.147,-0.042,-0.066,-0.076
Pde4a,,0.549,0.084,0.043,0.943,1.126,,-0.054,0.033,0.009,0.145,-0.477,0.707
Pde8b,,-0.851,-0.407,-0.043,-0.552,-0.243,0.949,,0.311,-0.157,0.401,0.398,
Pdzd2,,-1.221,-0.068,-0.531,0.072,-1.189,-0.572,-0.94,-0.429,-0.054,-0.091,0.076,-0.124
Pdzd4,,-0.495,0.014,0.052,-0.217,0.25,0.442,0.546,0.085,0.14,0.081,0.176,0.164
Per3,,-0.401,-0.091,0.032,-0.119,0.127,0.497,-0.052,-0.133,0.123,0.306,0.317,-0.48
Pet100,,0.366,-0.023,-0.086,0.114,0.171,-0.524,0.101,-0.035,-0.017,-0.032,-0.273,-0.001
Pex2,,1.373,0.065,-0.081,-0.036,-0.467,0.221,0.041,-0.086,-0.067,-0.187,-0.137,0.126
Pex26,,-0.481,0.202,-0.1,0.682,-0.177,-0.26,,-0.292,-0.0,-0.11,0.117,
Pfas,,-0.713,0.106,-0.008,0.463,-0.511,-1.364,,0.011,0.032,-0.079,0.337,0.122
Phc1,,-2.549,-0.09,0.1,-0.243,0.007,-0.801,0.296,-0.07,0.077,0.083,0.17,0.07
Phf2,,-0.474,0.064,-0.055,0.142,-0.15,-0.077,0.303,-0.028,0.256,-0.005,0.189,-0.261
Phf21a,,0.238,0.146,-0.072,-0.633,0.04,0.122,-0.171,-0.042,0.092,0.095,0.187,0.236
Phlda1,,-0.23,-0.242,-0.264,0.484,-0.432,-0.319,-0.045,-0.378,-0.232,-0.338,-0.301,-0.4
Phldb1,,-2.073,0.061,0.187,0.12,0.115,0.015,0.219,0.024,0.186,0.203,-0.063,0.407
Phlpp1,,0.735,0.119,-0.11,0.335,-0.296,0.335,-0.709,-0.195,0.207,0.116,0.201,
Phox2a,,1.666,,0.028,0.328,0.083,0.17,0.095,-0.012,-0.083,-0.184,0.221,-0.008
Pi4k2b,,0.188,0.059,0.111,0.81,0.061,-0.352,-0.022,-0.285,-0.05,0.287,-0.088,-0.29
Pianp,,-0.627,0.093,0.043,-0.125,-0.055,0.498,-0.55,-0.001,0.099,0.097,0.304,0.235
Pign,,-1.123,0.256,-0.503,-0.099,0.347,0.239,-3.514,-0.177,0.188,-0.03,-0.103,
Pigo,,-2.372,0.284,0.488,0.46,0.201,0.343,,-0.098,0.354,-0.429,0.129,-0.271
Pik3c2b,,1.238,0.22,-0.072,-0.607,0.505,0.948,-0.291,-0.45,0.268,0.092,0.407,
Pim1,,0.875,-0.089,0.037,-0.859,-0.43,-0.394,0.377,-0.061,0.159,-0.166,0.033,-0.316
Pip4k2b,,-0.202,0.176,0.055,-0.19,0.026,0.502,0.093,0.061,0.214,0.15,0.196,0.322
Pithd1,,-0.296,-0.118,0.033,0.144,0.17,0.127,-0.473,0.091,-0.08,0.073,0.152,0.015
Pitpnm3,,-0.243,0.059,0.159,2.254,1.156,-0.837,0.079,0.228,0.22,0.707,0.121,
Pkd2,,-1.029,0.149,-0.154,-0.44,0.241,-1.119,0.126,-0.041,0.208,0.118,-0.024,0.183
Pkm,,-0.103,0.035,-0.031,0.026,-0.014,-0.039,-0.183,0.018,0.082,-0.07,0.09,0.042
Pknox1,,0.596,-0.055,-0.075,-0.345,0.278,-0.152,-0.044,0.029,0.081,-0.063,0.063,-0.167
Plce1,,1.553,-0.109,-0.159,-0.692,-0.007,-0.606,-1.057,0.189,-0.027,-0.256,0.386,0.229
Plekhg5,,0.415,-0.066,0.045,0.033,-0.204,0.696,,0.073,0.221,0.176,0.167,-0.315
Plekhh3,,0.721,0.126,-0.082,-0.556,0.235,0.521,-0.57,-0.067,0.232,0.034,0.305,-0.358
Plgrkt,,0.453,0.079,-0.024,-0.288,-0.143,-0.219,-0.087,-0.075,-0.018,-0.113,-0.23,-0.076
Plin3,,-0.822,-0.306,-0.328,-0.852,0.069,-0.828,0.038,-0.51,0.007,0.371,,-0.372
Plxna3,,0.709,0.167,0.066,-0.138,0.026,0.286,0.467,0.093,0.26,0.101,0.126,-0.096
Plxnb1,,2.569,-0.125,0.234,0.703,0.034,-0.757,,-0.07,-0.243,-0.012,-0.01,-0.117
Plxnb2,,0.865,0.012,0.048,0.25,-0.054,-0.095,0.126,0.063,0.312,-0.109,0.388,-0.358
Pml,,-1.008,-0.029,0.339,-0.533,-0.239,-0.026,,-0.13,0.151,0.032,0.191,-0.31
Pofut1,,-0.593,0.076,-0.217,-0.21,0.024,0.446,0.242,0.097,0.332,-0.051,0.131,-0.07
Pold1,,-1.878,0.032,-0.014,-1.112,-0.338,-0.903,,0.163,0.173,-0.131,,-0.28
Polr2m,,-0.227,0.009,0.025,0.012,-0.157,0.221,0.158,0.011,-0.046,0.151,0.071,-0.085
Pou2f1,,-0.659,0.095,0.029,-0.54,-0.221,-0.371,0.289,-0.068,0.156,-0.04,0.107,0.046
Ppard,,-0.185,0.074,-0.122,-0.001,0.38,-0.358,1.539,-0.061,0.244,-0.212,-0.072,
Ppfibp1,,0.079,-0.375,-0.185,0.993,-0.157,-0.094,-0.087,-0.236,0.17,0.072,0.209,-0.331
Ppp1r16b,,0.616,0.115,-0.004,0.059,0.352,0.271,0.091,0.255,0.057,0.219,0.455,0.84
Ppp1r18,,0.205,,-0.077,0.025,-0.465,-0.872,-0.731,0.117,0.006,0.189,-0.113,-0.357
Ppp1r21,,-1.053,-0.015,0.004,0.297,0.101,0.264,0.221,0.092,-0.005,0.103,0.067,-0.219
Ppp1r26,,-0.358,0.113,0.023,-0.712,-0.464,,,0.018,0.243,0.01,0.289,-1.203
Ppp1r35,,-0.676,-0.13,-0.097,0.169,-0.38,-0.283,-0.897,-0.016,-0.081,-0.129,-0.069,0.065
Ppp1r37,,-2.22,0.131,-0.014,0.05,-0.099,-0.046,-0.253,0.033,0.182,0.048,0.084,-0.062
Pradc1,,0.959,-0.153,-0.01,-0.123,0.315,-0.327,0.704,0.061,-0.086,0.07,-0.077,-0.183
Prdm15,,1.565,0.186,0.178,-0.37,0.673,,-0.146,-0.103,0.176,0.033,0.146,
Prex1,,5.734,0.157,0.09,0.039,0.599,0.028,0.53,0.125,0.001,-0.122,,
Prex2,,-0.32,-0.599,-0.44,0.321,-0.541,-0.336,-1.906,-0.409,-0.101,0.131,0.601,
Proser1,,0.349,0.101,0.032,-0.231,-0.324,-0.056,0.223,0.087,0.051,-0.038,-0.063,-0.107
Prr12,,-0.158,0.022,0.18,-0.064,0.068,0.373,-0.573,0.092,0.118,0.044,0.149,-0.299
Prr14l,,-0.721,0.169,-0.078,-0.506,-0.017,0.466,-0.172,0.191,0.213,0.034,0.169,-0.195
Prr15,,-0.466,-0.001,-0.14,1.31,0.769,-0.257,-0.552,0.312,-0.019,0.17,,
Prrc2a,,-0.865,0.076,0.087,-0.151,0.227,0.043,-0.285,-0.04,0.227,-0.021,0.092,-0.185
Psd,,1.84,0.018,0.055,0.688,0.127,0.349,0.13,0.062,0.045,0.261,0.146,0.265
Pskh1,,0.711,0.227,-0.085,-0.13,-0.314,0.447,0.493,0.059,0.202,0.052,0.118,-0.109
Ptbp1,,1.424,-0.124,-0.017,-0.673,-0.363,-0.425,0.259,0.01,0.191,-0.097,0.066,-0.271
Ptbp3,,0.312,-0.098,-0.035,0.006,-0.206,0.18,-0.022,0.035,0.096,-0.056,-0.11,-0.148
Ptpn21,,0.319,-0.06,0.238,-0.16,1.408,0.235,0.138,-0.247,-0.013,0.068,0.118,
Ptpn5,,-0.545,0.147,-0.031,1.429,0.381,0.492,0.061,0.056,0.165,-0.104,0.596,0.06
Ptprj,,-1.034,-0.097,-0.018,-0.134,-0.214,-0.112,,0.183,0.435,0.355,0.622,0.294
Ptprz1,,0.221,-0.371,0.338,-2.105,0.131,-0.209,-0.62,-0.402,-0.149,0.367,-0.881,-0.521
Ptrhd1,,-0.281,-0.118,-0.044,0.145,0.066,-0.434,-0.57,-0.013,-0.077,-0.008,-0.2,0.083
Pxdn,,0.174,-0.254,0.043,-0.07,0.395,-0.064,0.176,0.176,0.304,0.07,0.091,0.058
R3hcc1l,,-0.382,0.001,-0.256,-0.124,0.418,0.272,-0.716,-0.112,0.032,0.222,0.073,0.219
R3hdm4,,0.272,0.052,-0.027,0.079,-0.014,-0.024,-0.098,0.021,0.1,-0.008,-0.18,-0.082
Rabl6,,0.044,0.042,-0.066,-0.121,0.081,0.048,-0.036,0.118,0.056,0.067,-0.092,0.046
