,GSE102443 geniculate (VII),GSE135801 geniculate (VII),GSE309608 vestibular (VIII),GSE232789 stellate,GSE232789 coeliac,GSE232789 lumbar chain,GSE231766 superior cervical,GSE231924 stellate,GSE232789 sphenopalatine,GSE330884 intrinsic cardiac,GSE232789 pelvic,"GSE263422 enteric submucosal, P24","GSE263422 enteric submucosal, P7"
6330409D20Rik,0.362,1.319,0.142,-0.134,0.336,0.266,,,-0.305,-0.153,0.015,,-0.461
6430548M08Rik,-0.092,0.013,0.208,-0.065,0.048,-0.122,0.388,-0.307,0.04,0.163,0.143,0.225,0.112
9130401M01Rik,-0.184,-0.579,-0.151,0.106,0.251,0.056,0.157,-0.366,-0.113,-0.036,-0.171,-0.209,-0.105
9330151L19Rik,-0.674,-0.873,0.09,0.073,-0.845,-0.256,0.264,,-0.076,,-0.046,0.218,-0.089
9330158H04Rik,-0.116,-0.156,,0.198,0.215,0.308,-0.41,-0.237,0.146,-0.078,-0.285,,0.538
9330159F19Rik,-0.154,-0.282,0.178,0.056,-0.123,0.186,0.058,0.153,0.054,0.167,0.226,0.079,0.247
9330182L06Rik,-0.042,-0.043,0.26,0.096,0.107,0.136,,0.21,0.092,0.219,0.128,0.262,0.003
9430038I01Rik,0.569,-0.703,-0.169,-0.066,-0.663,-0.191,0.151,,-0.016,-0.121,0.145,-0.011,-0.596
9530059O14Rik,0.096,0.663,0.187,0.106,0.165,0.183,0.855,0.128,0.124,0.238,0.039,-0.412,-0.221
9530068E07Rik,0.023,0.348,0.279,-0.051,-0.105,-0.158,0.289,-0.514,-0.028,0.19,0.005,0.243,-0.097
9530077C05Rik,0.09,-0.729,-0.138,-0.074,-0.15,-0.877,0.487,-0.19,0.26,-0.076,0.203,-0.141,0.221
9530082P21Rik,0.02,0.138,-0.055,,0.215,-0.583,0.015,0.389,-0.087,0.064,0.08,-0.201,
9930021J03Rik,-0.279,-0.252,0.113,-0.026,-0.148,-0.19,0.315,0.234,-0.049,0.045,-0.076,-0.001,-0.051
A130010J15Rik,0.122,-0.82,0.159,-0.14,0.391,-0.604,-0.6,,-0.102,0.074,0.157,0.029,-0.806
A230057D06Rik,-0.512,-0.315,0.27,0.19,-0.402,0.319,0.376,0.185,-0.004,0.343,0.067,,
A330102I10Rik,0.214,-0.229,0.189,0.26,0.831,-0.429,0.143,0.522,-0.166,-0.121,-0.32,-0.041,0.277
A430005L14Rik,-0.089,0.121,-0.098,-0.251,-0.33,0.15,-0.061,-0.896,0.082,-0.093,-0.129,-0.078,-0.055
A430033K04Rik,-0.84,,0.104,0.215,0.573,-0.311,,,-0.117,-0.178,0.051,0.168,-0.854
A4galt,0.362,0.37,,-0.104,0.249,1.265,0.222,-0.219,-0.005,0.067,0.279,0.224,0.472
A830018L16Rik,-0.277,0.099,0.083,-0.011,0.763,0.45,0.533,0.041,0.041,0.011,-0.003,-0.14,-0.115
A930015D03Rik,0.044,-0.215,0.007,0.02,-0.622,-0.091,,,0.001,-0.089,-0.587,,-0.428
AI413582,-0.108,-0.425,-0.067,-0.057,0.528,0.013,-0.119,0.296,0.103,-0.076,0.147,-0.166,0.04
AI504432,-0.041,0.159,-0.189,-0.163,-0.442,-0.641,-0.048,0.123,0.298,0.117,0.007,,
AI597479,-0.035,-0.321,0.085,0.1,0.375,0.105,-0.819,-0.297,-0.069,0.001,0.079,0.031,0.231
AI837181,-0.063,-0.002,-0.051,0.105,0.521,-0.151,-0.242,0.137,-0.038,0.053,0.115,0.093,0.018
AI854703,-0.082,-0.957,0.126,0.054,-0.344,-0.229,-0.061,,0.12,-0.027,0.197,0.064,0.134
AI987944,-0.047,-1.153,0.085,-0.051,0.134,0.475,0.255,,-0.114,-0.073,-0.108,-0.178,-0.249
AU022252,0.155,-0.988,-0.019,0.155,-0.268,-0.226,-0.302,0.226,0.135,-0.045,0.205,0.106,0.023
AU040320,-0.029,0.478,0.26,-0.129,-0.001,-0.196,0.339,0.641,-0.056,0.311,-0.095,-0.055,-0.043
AU041133,0.355,-0.305,0.165,0.231,-0.073,0.077,,0.05,0.008,-0.036,0.037,0.043,-0.006
AW209491,-0.168,-0.387,-0.147,-0.071,-0.173,0.046,0.528,-0.458,0.073,-0.119,-0.049,0.036,-0.04
AW549877,0.022,0.184,0.068,0.076,-0.11,-0.038,0.256,0.017,-0.032,0.157,0.079,-0.015,0.041
AW551984,-0.622,-0.297,,-0.031,-0.011,0.029,0.055,-0.031,0.049,0.079,0.099,-0.006,0.21
AW554918,0.293,-0.275,0.085,0.093,-0.282,0.281,-1.438,,0.247,0.008,0.03,0.08,-1.014
Aaas,0.155,-0.758,0.042,0.25,0.119,-0.089,0.291,,0.016,0.269,-0.164,0.167,-0.628
Aacs,0.304,-0.155,0.077,0.137,0.288,0.318,0.135,0.056,0.141,0.313,0.027,0.043,0.395
Aagab,0.211,-0.09,0.094,0.066,0.143,-0.388,-0.237,0.023,0.073,0.066,0.173,-0.152,-0.281
Aak1,0.152,0.168,0.085,0.009,0.281,-0.295,0.359,-0.083,0.113,0.129,0.06,0.22,0.047
Aamp,-0.143,-0.262,-0.077,-0.05,0.302,-0.032,-0.302,-0.175,-0.097,-0.024,-0.088,-0.01,0.075
Aars,0.198,0.345,0.143,0.053,-0.089,0.059,-0.358,0.382,0.009,0.164,0.086,0.126,0.119
Aars2,0.019,0.666,-0.006,0.11,0.392,0.629,0.74,0.167,0.3,0.251,0.072,-0.129,-0.138
Aarsd1,0.13,0.461,-0.216,-0.115,0.262,-0.003,,0.09,-0.011,-0.116,-0.135,,-0.692
Aasdh,-0.227,-2.154,0.098,0.012,-0.403,-0.003,,0.582,0.107,0.15,-0.364,-0.12,
